* This data was exported from the Dayton Audio Test System: DATS
*
D    	180	[mm]
Re   	4.141	[Ohms]
Fs   	65.07	[Hz]
Zm   	16.95	[Ohms]
BL   	3.824	[N/A]
Qms  	6.918
Qes  	2.236
Qts  	1.69
Vas  	28.18 	[liters]
L10k 	0.1629	[mH]
n0   	0.3311	[%]
dBSPL  	87.3	[1W/1m]
Ms   	19.31	[grams]
Cms  	0.31	[mm/N]
*
*
Freq            Impedance       Phase
279.170    	4.322    	1.913    
287.350    	4.326    	2.329    
295.770    	4.330    	2.664    
304.437    	4.334    	3.041    
313.358    	4.339    	3.470    
322.540    	4.345    	3.859    
331.991    	4.349    	4.229    
341.719    	4.354    	4.616    
351.732    	4.363    	5.026    
362.039    	4.371    	5.398    
372.647    	4.382    	5.767    
383.567    	4.392    	6.123    
394.806    	4.400    	6.447    
406.375    	4.405    	6.791    
418.282    	4.410    	7.173    
430.539    	4.418    	7.595    
443.155    	4.423    	7.969    
456.140    	4.433    	8.341    
469.506    	4.443    	8.757    
483.264    	4.453    	9.216    
497.424    	4.465    	9.634    
512.000    	4.478    	10.033    
527.003    	4.492    	10.450    
542.445    	4.507    	10.848    
558.340    	4.521    	11.270    
574.701    	4.535    	11.688    
591.541    	4.551    	12.124    
608.874    	4.569    	12.540    
626.715    	4.589    	12.957    
645.080    	4.609    	13.392    
663.982    	4.630    	13.848    
683.438    	4.654    	14.326    
703.464    	4.683    	14.696    
724.077    	4.707    	15.063    
745.294    	4.736    	15.588    
767.133    	4.780    	15.945    
789.612    	4.818    	16.077    
812.749    	4.843    	16.211    
836.565    	4.863    	16.279    
861.078    	4.865    	16.443    
886.309    	4.866    	16.779    
912.280    	4.870    	17.248    
939.012    	4.880    	17.806    
966.527    	4.898    	18.345    
994.849    	4.922    	18.903    
1024.000    	4.943    	19.380    
1054.005    	4.973    	19.888    
1084.890    	5.000    	20.425    
1116.680    	5.033    	20.946    
1149.401    	5.066    	21.419    
1183.081    	5.098    	21.933    
1217.748    	5.132    	22.426    
1253.431    	5.165    	22.941    
1290.159    	5.204    	23.459    
1327.964    	5.246    	23.996    
1366.876    	5.290    	24.525    
1406.929    	5.337    	25.043    
1448.155    	5.388    	25.479    
1490.589    	5.434    	25.856    
1534.266    	5.472    	26.364    
1579.224    	5.523    	26.932    
1625.499    	5.581    	27.466    
1673.129    	5.653    	27.898    
1722.156    	5.723    	28.103    
1772.619    	5.767    	28.190    
1824.561    	5.783    	28.511    
1878.024    	5.809    	29.098    
1933.055    	5.853    	29.778    
1989.697    	5.910    	30.446    
2048.000    	5.971    	31.015    
2108.011    	6.038    	31.592    
2169.780    	6.109    	32.139    
2233.360    	6.181    	32.683    
2298.802    	6.257    	33.138    
2366.162    	6.325    	33.596    
2435.496    	6.400    	34.096    
2506.862    	6.477    	34.600    
2580.318    	6.554    	35.102    
2655.927    	6.638    	35.623    
2733.752    	6.730    	36.140    
2813.857    	6.829    	36.603    
2896.309    	6.928    	36.950    
2981.178    	7.012    	37.293    
3068.533    	7.088    	37.658    
3158.448    	7.166    	38.222    
3250.997    	7.262    	38.831    
3346.259    	7.373    	39.403    
3444.312    	7.493    	39.929    
3545.238    	7.618    	40.388    
3649.121    	7.743    	40.809    
3756.049    	7.869    	41.234    
3866.109    	8.008    	41.617    
3979.395    	8.146    	41.890    
4096.000    	8.269    	42.178    
4216.022    	8.404    	42.671    
4339.561    	8.587    	43.036    
4466.720    	8.762    	43.046    
4597.605    	8.909    	42.941    
4732.325    	8.990    	42.776    
4870.992    	9.040    	43.344    
5013.723    	9.203    	44.028    
5160.637    	9.393    	44.357    
5311.855    	9.613    	44.370    
5467.504    	9.714    	43.765    
5627.714    	9.695    	44.230    
5792.619    	9.854    	45.149    
5962.355    	10.050    	45.415    
6137.066    	10.183    	45.543    
6316.896    	10.291    	45.885    
6501.995    	10.424    	46.562    
6692.518    	10.614    	47.139    
6888.623    	10.822    	47.609    
7090.476    	11.038    	47.899    
7298.242    	11.215    	48.228    
7512.097    	11.421    	48.750    
7732.218    	11.680    	49.182    
7958.790    	11.945    	49.381    
8192.000    	12.211    	49.633    
8432.044    	12.541    	49.671    
8679.122    	12.868    	49.224    
8933.439    	13.085    	48.138    
9195.209    	12.948    	47.462    
9464.649    	12.891    	48.577    
9741.985    	13.091    	49.663    
10027.447    	13.355    	50.340    
10321.273    	13.641    	50.774    
10623.710    	13.881    	51.055    
10935.008    	14.148    	51.482    
11255.428    	14.418    	51.748    
11585.238    	14.673    	52.072    
11924.711    	14.961    	52.433    
12274.132    	15.263    	52.748    
12633.791    	15.576    	53.020    
13003.989    	15.896    	53.267    
13385.035    	16.226    	53.495    
13777.247    	16.576    	53.692    
14180.951    	16.966    	53.778    
14596.485    	17.336    	53.470    
15024.194    	17.503    	53.270    
15464.437    	17.722    	53.699    
15917.579    	18.046    	54.081    
16384.000    	18.393    	54.354    
16864.088    	18.749    	54.594    
17358.243    	19.110    	54.813    
17866.879    	19.478    	55.006    
18390.418    	19.837    	55.178    
18929.299    	20.194    	55.335    
19483.969    	20.556    	55.491    
20054.893    	20.914    	55.662    
20642.546    	21.279    	55.869    
