Freq[Hz]      Mag   Phase[Deg]
177.019     87.759     0.000
179.594     87.909     0.000
182.206     88.064     0.000
184.856     88.189     0.000
187.545     88.272     0.000
190.273     88.320     0.000
193.041     88.311     0.000
195.849     88.259     0.000
198.697     88.143     0.000
201.587     88.043     0.000
204.520     87.965     0.000
207.494     87.928     0.000
210.512     87.947     0.000
213.574     88.000     0.000
216.681     88.083     0.000
219.833     88.192     0.000
223.030     88.318     0.000
226.274     88.453     0.000
229.565     88.591     0.000
232.905     88.732     0.000
236.292     88.864     0.000
239.729     88.989     0.000
243.216     89.109     0.000
246.754     89.224     0.000
250.343     89.325     0.000
253.984     89.386     0.000
257.678     89.400     0.000
261.426     89.369     0.000
265.229     89.287     0.000
269.087     89.184     0.000
273.001     89.035     0.000
276.972     88.860     0.000
281.000     88.709     0.000
285.088     88.583     0.000
289.234     88.532     0.000
293.441     88.561     0.000
297.709     88.651     0.000
302.040     88.796     0.000
306.433     88.936     0.000
310.890     89.033     0.000
315.412     89.117     0.000
320.000     89.201     0.000
324.655     89.306     0.000
329.377     89.421     0.000
334.168     89.508     0.000
339.028     89.537     0.000
343.959     89.523     0.000
348.962     89.493     0.000
354.038     89.453     0.000
359.188     89.412     0.000
364.412     89.407     0.000
369.713     89.418     0.000
375.090     89.451     0.000
380.546     89.466     0.000
386.081     89.421     0.000
391.697     89.324     0.000
397.394     89.205     0.000
403.175     89.123     0.000
409.039     89.119     0.000
414.989     89.175     0.000
421.025     89.256     0.000
427.149     89.321     0.000
433.362     89.351     0.000
439.665     89.350     0.000
446.060     89.312     0.000
452.548     89.227     0.000
459.131     89.086     0.000
465.809     88.895     0.000
472.584     88.694     0.000
479.458     88.516     0.000
486.432     88.390     0.000
493.507     88.299     0.000
500.686     88.244     0.000
507.968     88.262     0.000
515.357     88.400     0.000
522.853     88.668     0.000
530.458     89.012     0.000
538.174     89.358     0.000
546.002     89.650     0.000
553.943     89.876     0.000
562.001     90.043     0.000
570.175     90.169     0.000
578.469     90.265     0.000
586.883     90.339     0.000
595.419     90.412     0.000
604.080     90.484     0.000
612.866     90.543     0.000
621.780     90.589     0.000
630.824     90.610     0.000
640.000     90.617     0.000
649.309     90.619     0.000
658.753     90.616     0.000
668.335     90.604     0.000
678.056     90.576     0.000
687.919     90.552     0.000
697.925     90.564     0.000
708.077     90.618     0.000
718.376     90.708     0.000
728.825     90.795     0.000
739.426     90.844     0.000
750.181     90.850     0.000
761.093     90.826     0.000
772.163     90.791     0.000
783.394     90.764     0.000
794.789     90.747     0.000
806.349     90.748     0.000
818.078     90.763     0.000
829.977     90.793     0.000
842.050     90.835     0.000
854.298     90.869     0.000
866.724     90.871     0.000
879.330     90.864     0.000
892.120     90.868     0.000
905.097     90.913     0.000
918.262     91.018     0.000
931.618     91.145     0.000
945.169     91.257     0.000
958.917     91.328     0.000
972.864     91.345     0.000
987.015     91.301     0.000
1001.37     91.203     0.000
1015.94     91.061     0.000
1030.71     90.894     0.000
1045.71     90.710     0.000
1060.92     90.509     0.000
1076.35     90.308     0.000
1092.00     90.105     0.000
1107.89     89.912     0.000
1124.00     89.737     0.000
1140.35     89.582     0.000
1156.94     89.439     0.000
1173.77     89.315     0.000
1190.84     89.223     0.000
1208.16     89.160     0.000
1225.73     89.133     0.000
1243.56     89.161     0.000
1261.65     89.231     0.000
1280.00     89.346     0.000
1298.62     89.482     0.000
1317.51     89.604     0.000
1336.67     89.700     0.000
1356.11     89.763     0.000
1375.84     89.802     0.000
1395.85     89.837     0.000
1416.15     89.883     0.000
1436.75     89.942     0.000
1457.65     90.007     0.000
1478.85     90.073     0.000
1500.36     90.135     0.000
1522.19     90.190     0.000
1544.33     90.239     0.000
1566.79     90.277     0.000
1589.58     90.304     0.000
1612.70     90.323     0.000
1636.16     90.332     0.000
1659.95     90.338     0.000
1684.10     90.347     0.000
1708.60     90.364     0.000
1733.45     90.388     0.000
1758.66     90.414     0.000
1784.24     90.432     0.000
1810.19     90.439     0.000
1836.52     90.430     0.000
1863.24     90.418     0.000
1890.34     90.399     0.000
1917.83     90.374     0.000
1945.73     90.370     0.000
1974.03     90.376     0.000
2002.74     90.406     0.000
2031.87     90.458     0.000
2061.43     90.511     0.000
2091.41     90.568     0.000
2121.83     90.604     0.000
2152.69     90.602     0.000
2184.01     90.564     0.000
2215.77     90.485     0.000
2248.00     90.379     0.000
2280.70     90.264     0.000
2313.87     90.153     0.000
2347.53     90.062     0.000
2381.68     90.002     0.000
2416.32     89.968     0.000
2451.46     89.944     0.000
2487.12     89.911     0.000
2523.30     89.867     0.000
2560.00     89.826     0.000
2597.24     89.790     0.000
2635.01     89.774     0.000
2673.34     89.769     0.000
2712.23     89.769     0.000
2751.68     89.773     0.000
2791.70     89.783     0.000
2832.31     89.787     0.000
2873.50     89.784     0.000
2915.30     89.784     0.000
2957.70     89.796     0.000
3000.72     89.812     0.000
3044.37     89.834     0.000
3088.65     89.851     0.000
3133.58     89.868     0.000
3179.16     89.900     0.000
3225.40     89.957     0.000
3272.31     90.023     0.000
3319.91     90.102     0.000
3368.20     90.183     0.000
3417.19     90.260     0.000
3466.89     90.338     0.000
3517.32     90.411     0.000
3568.48     90.480     0.000
3620.39     90.540     0.000
3673.05     90.583     0.000
3726.47     90.588     0.000
3780.67     90.566     0.000
3835.67     90.514     0.000
3891.46     90.441     0.000
3948.06     90.384     0.000
4005.49     90.346     0.000
4063.75     90.334     0.000
4122.86     90.345     0.000
4182.82     90.365     0.000
4243.66     90.380     0.000
4305.39     90.388     0.000
4368.01     90.392     0.000
4431.55     90.389     0.000
4496.01     90.385     0.000
4561.40     90.397     0.000
4627.75     90.406     0.000
4695.06     90.401     0.000
4763.35     90.368     0.000
4832.64     90.297     0.000
4902.93     90.220     0.000
4974.24     90.143     0.000
5046.60     90.069     0.000
5120.00     90.000     0.000
5194.47     89.924     0.000
5270.03     89.840     0.000
5346.68     89.770     0.000
5424.45     89.713     0.000
5503.35     89.694     0.000
5583.40     89.719     0.000
5664.61     89.777     0.000
5747.01     89.864     0.000
5830.60     89.942     0.000
5915.41     90.005     0.000
6001.45     90.049     0.000
6088.74     90.067     0.000
6177.30     90.062     0.000
6267.15     90.039     0.000
6358.31     90.026     0.000
6450.80     90.037     0.000
6544.62     90.087     0.000
6639.82     90.167     0.000
6736.40     90.248     0.000
6834.38     90.323     0.000
6933.79     90.391     0.000
7034.64     90.458     0.000
7136.96     90.518     0.000
7240.77     90.568     0.000
7346.09     90.607     0.000
7452.94     90.649     0.000
7561.35     90.716     0.000
7671.33     90.812     0.000
7782.91     90.927     0.000
7896.12     91.047     0.000
8010.97     91.157     0.000
8127.49     91.240     0.000
8245.71     91.295     0.000
8365.65     91.312     0.000
8487.33     91.306     0.000
8610.78     91.288     0.000
8736.03     91.262     0.000
8863.09     91.228     0.000
8992.01     91.195     0.000
9122.80     91.164     0.000
9255.50     91.147     0.000
9390.12     91.146     0.000
9526.70     91.166     0.000
9665.27     91.211     0.000
9805.86     91.281     0.000
9948.49     91.373     0.000
10093.2     91.466     0.000
10240.0     91.542     0.000
10388.9     91.599     0.000
10540.1     91.631     0.000
10693.4     91.645     0.000
10848.9     91.648     0.000
11006.7     91.623     0.000
11166.8     91.546     0.000
11329.2     91.413     0.000
11494.0     91.230     0.000
11661.2     91.031     0.000
11830.8     90.849     0.000
12002.9     90.715     0.000
12177.5     90.625     0.000
12354.6     90.568     0.000
12534.3     90.532     0.000
12716.6     90.500     0.000
12901.6     90.465     0.000
13089.2     90.430     0.000
13279.6     90.393     0.000
13472.8     90.359     0.000
13668.8     90.329     0.000
13867.6     90.312     0.000
14069.3     90.322     0.000
14273.9     90.369     0.000
14481.5     90.458     0.000
14692.2     90.574     0.000
14905.9     90.693     0.000
15122.7     90.780     0.000
15342.7     90.809     0.000
15565.8     90.786     0.000
15792.2     90.724     0.000
16021.9     90.633     0.000
16255.0     90.547     0.000
16491.4     90.465     0.000
16731.3     90.378     0.000
16974.7     90.290     0.000
17221.6     90.198     0.000
17472.1     90.102     0.000
17726.2     90.016     0.000
17984.0     89.951     0.000
18245.6     89.894     0.000
18511.0     89.840     0.000
18780.2     89.793     0.000
19053.4     89.759     0.000
19330.5     89.742     0.000
19611.7     89.751     0.000
19897.0     89.775     0.000
20186.4     89.811     0.000
20480.0     89.859     0.000
20777.9     89.920     0.000
21080.1     89.984     0.000
21386.7     90.042     0.000
21697.8     90.077     0.000
22013.4     90.071     0.000
22333.6     90.014     0.000
22658.4     89.907     0.000
22988.0     89.770     0.000
23322.4     89.637     0.000
23661.6     89.539     0.000
24005.8     89.488     0.000
24355.0     89.463     0.000
24709.2     89.436     0.000
25068.6     89.399     0.000
25433.2     89.349     0.000
25803.2     89.337     0.000
26178.5     89.386     0.000
26559.3     89.484     0.000
26945.6     89.625     0.000
27337.5     89.787     0.000
27735.2     89.947     0.000
28138.6     90.070     0.000
28547.9     90.122     0.000
28963.1     90.175     0.000
29384.4     90.253     0.000
29811.8     90.341     0.000
30245.4     90.476     0.000
30685.3     90.584     0.000
31131.7     90.653     0.000
31584.5     90.687     0.000
32043.9     90.657     0.000
32510.0     90.565     0.000
32982.8     90.417     0.000
33462.6     90.227     0.000
33949.3     90.024     0.000
34443.1     89.823     0.000
34944.1     89.636     0.000
35452.4     89.462     0.000
35968.0     89.274     0.000
36491.2     89.066     0.000
37022.0     88.822     0.000
37560.5     88.552     0.000
38106.8     88.276     0.000
38661.1     87.987     0.000
39223.4     87.723     0.000
39793.9     87.494     0.000
