Freq[Hz]     dBSPL  Phase[Deg]
162.327     86.710     0.946
164.688     86.677     0.798
167.084     86.640     0.744
169.514     86.604     0.776
171.980     86.581     0.886
174.481     86.575     1.035
177.019     86.574     1.198
179.594     86.574     1.375
182.206     86.576     1.572
184.856     86.585     1.790
187.545     86.612     2.002
190.273     86.656     2.167
193.041     86.717     2.250
195.849     86.784     2.223
198.697     86.833     2.103
201.587     86.866     1.933
204.520     86.880     1.752
207.494     86.882     1.600
210.512     86.883     1.503
213.574     86.883     1.460
216.681     86.886     1.466
219.833     86.902     1.495
223.030     86.936     1.506
226.274     86.975     1.481
229.565     87.025     1.397
232.905     87.077     1.223
236.292     87.120     0.980
239.729     87.158     0.695
243.216     87.184     0.377
246.754     87.202     0.031
250.343     87.229    -0.365
253.984     87.265    -0.845
257.678     87.293    -1.415
261.426     87.291    -2.051
265.229     87.243    -2.687
269.087     87.166    -3.251
273.001     87.072    -3.701
276.972     86.968    -3.993
281.000     86.875    -4.140
285.088     86.783    -4.181
289.234     86.695    -4.119
293.441     86.637    -4.005
297.709     86.595    -3.898
302.040     86.561    -3.811
306.433     86.524    -3.749
310.890     86.485    -3.712
315.412     86.435    -3.678
320.000     86.382    -3.615
324.655     86.337    -3.528
329.377     86.289    -3.431
334.168     86.236    -3.307
339.028     86.189    -3.162
343.959     86.142    -3.012
348.962     86.088    -2.834
354.038     86.034    -2.610
359.188     85.972    -2.330
364.412     85.905    -1.967
369.713     85.855    -1.531
375.090     85.820    -1.055
380.546     85.805    -0.568
386.081     85.803    -0.105
391.697     85.802     0.322
397.394     85.802     0.722
403.175     85.802     1.107
409.039     85.802     1.493
414.989     85.802     1.894
421.025     85.803     2.322
427.149     85.805     2.789
433.362     85.818     3.288
439.665     85.849     3.792
446.060     85.897     4.271
452.548     85.964     4.694
459.131     86.036     5.038
465.809     86.109     5.302
472.584     86.183     5.496
479.458     86.256     5.627
486.432     86.330     5.700
493.507     86.403     5.714
500.686     86.477     5.660
507.968     86.549     5.535
515.357     86.620     5.339
522.853     86.673     5.092
530.458     86.712     4.820
