Freq[Hz]     dBSPL  Phase[Deg]
177.019     91.083    15.261
179.594     91.083    15.003
182.206     91.083    14.751
184.856     91.083    14.505
187.545     91.083    14.264
190.273     91.083    14.029
193.041     91.083    13.800
195.849     91.083    13.579
198.697     91.083    13.367
201.587     91.083    13.169
204.520     91.084    12.978
207.494     91.089    12.784
210.512     91.109    12.559
213.574     91.131    12.285
216.681     91.135    11.998
219.833     91.131    11.714
223.030     91.110    11.449
226.274     91.090    11.238
229.565     91.084    11.067
232.905     91.083    10.907
236.292     91.083    10.746
239.729     91.083    10.579
243.216     91.083    10.409
246.754     91.083    10.239
250.343     91.083    10.070
253.984     91.083     9.901
257.678     91.083     9.735
261.426     91.083     9.571
265.229     91.083     9.408
269.087     91.083     9.247
273.001     91.083     9.088
276.972     91.083     8.932
281.000     91.083     8.777
285.088     91.083     8.624
289.234     91.083     8.472
293.441     91.083     8.323
297.709     91.083     8.175
302.040     91.083     8.030
306.433     91.083     7.885
310.890     91.083     7.743
315.412     91.083     7.602
320.000     91.083     7.462
324.655     91.083     7.324
329.377     91.083     7.188
334.168     91.083     7.052
339.028     91.083     6.918
343.959     91.083     6.785
348.962     91.083     6.653
354.038     91.083     6.521
359.188     91.083     6.391
364.412     91.083     6.261
369.713     91.083     6.131
375.090     91.083     6.001
380.546     91.083     5.871
386.081     91.083     5.739
391.697     91.083     5.606
397.394     91.083     5.471
403.175     91.083     5.331
409.039     91.083     5.184
414.989     91.083     5.024
421.025     91.082     4.845
427.149     91.080     4.649
433.362     91.068     4.452
439.665     91.038     4.293
446.060     91.000     4.196
452.548     90.962     4.166
459.131     90.935     4.198
465.809     90.925     4.262
472.584     90.924     4.323
479.458     90.924     4.371
486.432     90.924     4.406
493.507     90.924     4.439
500.686     90.924     4.479
507.968     90.924     4.538
515.357     90.925     4.621
522.853     90.930     4.726
530.458     90.951     4.829
538.174     90.989     4.896
546.002     91.029     4.916
553.943     91.072     4.892
562.001     91.110     4.832
570.175     91.133     4.771
578.469     91.159     4.712
586.883     91.236     4.538
595.419     91.347     4.142
604.080     91.425     3.589
612.866     91.435     3.004
621.780     91.356     2.493
630.824     91.240     2.186
640.000     91.173     2.130
649.309     91.170     2.218
658.753     91.187     2.340
668.335     91.216     2.396
678.056     91.266     2.305
687.919     91.346     2.032
697.925     91.463     1.498
708.077     91.524     0.737
718.376     91.505    -0.094
728.825     91.421    -0.880
739.426     91.283    -1.503
750.181     91.164    -1.895
761.093     91.069    -2.125
772.163     90.981    -2.250
783.394     90.894    -2.317
794.789     90.798    -2.323
806.349     90.689    -2.212
818.078     90.596    -1.995
829.977     90.516    -1.719
842.050     90.462    -1.424
854.298     90.431    -1.165
866.724     90.392    -0.964
879.330     90.335    -0.790
892.120     90.239    -0.553
905.097     90.116    -0.129
918.262     89.979     0.561
931.618     89.845     1.576
945.169     89.758     2.906
958.917     89.743     4.421
972.864     89.818     5.944
987.015     89.985     7.275
1001.37     90.191     8.287
1015.94     90.394     8.994
1030.71     90.611     9.394
1045.71     90.797     9.540
1060.92     90.963     9.567
1076.35     91.137     9.481
1092.00     91.289     9.270
1107.89     91.435     8.978
1124.00     91.610     8.537
1140.35     91.777     7.893
1156.94     91.918     7.079
1173.77     92.031     6.116
1190.84     92.075     5.084
1208.16     92.074     4.097
1225.73     92.032     3.229
1243.56     91.956     2.557
1261.65     91.873     2.117
1280.00     91.789     1.896
1298.62     91.709     1.902
1317.51     91.653     2.104
1336.67     91.630     2.432
1356.11     91.640     2.830
1375.84     91.681     3.260
1395.85     91.756     3.661
1416.15     91.851     3.985
1436.75     91.982     4.193
1457.65     92.146     4.220
1478.85     92.328     4.001
1500.36     92.532     3.454
1522.19     92.732     2.546
1544.33     92.895     1.345
1566.79     92.957     0.047
1589.58     92.898    -1.106
1612.70     92.775    -1.957
1636.16     92.638    -2.407
1659.95     92.588    -2.501
1684.10     92.650    -2.512
1708.60     92.777    -2.704
1733.45     92.930    -3.203
1758.66     93.081    -4.054
1784.24     93.194    -5.210
1810.19     93.260    -6.576
1836.52     93.277    -8.059
1863.24     93.241    -9.567
1890.34     93.163   -11.031
1917.83     93.047   -12.403
1945.73     92.895   -13.629
1974.03     92.713   -14.661
2002.74     92.511   -15.482
2031.87     92.297   -16.081
2061.43     92.079   -16.438
2091.41     91.865   -16.538
2121.83     91.654   -16.391
2152.69     91.457   -16.006
2184.01     91.294   -15.408
2215.77     91.186   -14.678
2248.00     91.129   -13.928
2280.70     91.122   -13.266
2313.87     91.151   -12.780
2347.53     91.188   -12.495
2381.68     91.221   -12.398
2416.32     91.230   -12.445
2451.46     91.206   -12.538
2487.12     91.150   -12.564
2523.30     91.066   -12.436
2560.00     90.976   -12.115
2597.24     90.928   -11.656
2635.01     90.950   -11.205
2673.34     91.013   -10.880
2712.23     91.069   -10.702
2751.68     91.095   -10.641
2791.70     91.069   -10.590
2832.31     91.042   -10.456
2873.50     91.039   -10.245
2915.30     91.049    -9.980
2957.70     91.071    -9.694
3000.72     91.092    -9.413
3044.37     91.121    -9.121
3088.65     91.161    -8.810
3133.58     91.206    -8.475
3179.16     91.278    -8.159
3225.40     91.389    -7.955
3272.31     91.515    -7.906
3319.91     91.656    -8.036
3368.20     91.786    -8.381
3417.19     91.869    -8.864
3466.89     91.911    -9.348
3517.32     91.925    -9.764
3568.48     91.914   -10.065
3620.39     91.916   -10.236
3673.05     91.946   -10.326
3726.47     91.984   -10.361
3780.67     92.020   -10.348
3835.67     92.051   -10.280
3891.46     92.102   -10.155
3948.06     92.184   -10.005
4005.49     92.291    -9.855
4063.75     92.435    -9.776
4122.86     92.588    -9.825
4182.82     92.767   -10.016
4243.66     92.976   -10.408
4305.39     93.187   -11.028
4368.01     93.388   -11.854
4431.55     93.574   -12.866
4496.01     93.745   -14.058
4561.40     93.900   -15.413
4627.75     94.061   -16.968
4695.06     94.234   -18.823
4763.35     94.363   -20.962
4832.64     94.426   -23.289
4902.93     94.364   -25.654
4974.24     94.164   -27.844
5046.60     93.887   -29.664
5120.00     93.558   -30.974
5194.47     93.223   -31.662
5270.03     92.911   -31.765
5346.68     92.629   -31.355
5424.45     92.399   -30.479
5503.35     92.255   -29.230
5583.40     92.195   -27.740
5664.61     92.211   -26.112
5747.01     92.318   -24.453
5830.60     92.547   -22.942
5915.41     92.894   -21.819
6001.45     93.325   -21.249
6088.74     93.825   -21.365
6177.30     94.328   -22.226
6267.15     94.795   -23.752
6358.31     95.216   -25.839
6450.80     95.564   -28.390
6544.62     95.836   -31.274
6639.82     96.037   -34.392
6736.40     96.155   -37.641
6834.38     96.175   -40.875
6933.79     96.107   -43.971
7034.64     95.960   -46.814
7136.96     95.747   -49.285
7240.77     95.506   -51.297
7346.09     95.293   -52.902
7452.94     95.122   -54.185
7561.35     94.964   -55.133
7671.33     94.854   -55.812
7782.91     94.775   -56.366
7896.12     94.786   -56.909
8010.97     94.932   -57.649
8127.49     95.124   -58.733
8245.71     95.321   -60.207
8365.65     95.478   -62.069
8487.33     95.616   -64.240
8610.78     95.763   -66.676
8736.03     95.905   -69.395
8863.09     96.040   -72.417
8992.01     96.122   -75.733
9122.80     96.128   -79.221
9255.50     96.070   -82.794
9390.12     95.946   -86.385
9526.70     95.762   -89.904
9665.27     95.569   -93.320
9805.86     95.399   -96.764
9948.49     95.214  -100.247
10093.2     94.963  -103.659
10240.0     94.680  -107.050
10388.9     94.325  -110.458
10540.1     93.981  -113.848
10693.4     93.675  -117.201
10848.9     93.314  -120.541
11006.7     92.871  -123.818
11166.8     92.327  -126.977
11329.2     91.786  -129.977
11494.0     91.329  -133.114
11661.2     90.961  -136.702
11830.8     90.672  -140.979
12002.9     90.230  -145.707
12177.5     89.335  -149.815
12354.6     87.957  -152.451
12534.3     86.013  -152.582
12716.6     83.968  -148.871
12901.6     83.112  -142.935
13089.2     83.247  -138.621
13279.6     83.409  -137.174
13472.8     83.295  -138.023
13668.8     82.780  -139.443
13867.6     81.823  -139.961
14069.3     80.597  -138.537
14273.9     79.190  -134.164
14481.5     78.296  -127.039
14692.2     78.453  -120.068
14905.9     79.054  -115.577
15122.7     79.498  -113.545
15342.7     79.626  -112.729
15565.8     79.464  -112.228
15792.2     79.200  -111.447
16021.9     79.075  -110.205
16255.0     79.196  -108.981
16491.4     79.401  -108.356
16731.3     79.564  -108.493
16974.7     79.672  -109.275
17221.6     79.708  -110.531
17472.1     79.636  -112.051
17726.2     79.454  -113.630
17984.0     79.163  -115.077
18245.6     78.788  -116.224
18511.0     78.377  -116.978
18780.2     77.966  -117.345
19053.4     77.595  -117.413
19330.5     77.264  -117.336
19611.7     76.953  -117.220
19897.0     76.646  -117.117
20186.4     76.323  -117.018
20480.0     75.958  -116.847
20777.9     75.575  -116.536
21080.1     75.213  -116.134
21386.7     74.861  -115.686
21697.8     74.489  -115.139
22013.4     74.116  -114.539
22333.6     73.668  -113.835
22658.4     73.171  -112.766
22988.0     72.621  -111.044
23322.4     72.017  -108.347
23661.6     71.510  -104.684
24005.8     71.178  -100.286
24355.0     71.175   -95.728
24709.2     71.423   -91.906
25068.6     71.791   -89.233
25433.2     72.224   -87.840
25803.2     72.631   -87.597
26178.5     72.939   -88.287
26559.3     73.094   -89.643
26945.6     73.078   -91.329
27337.5     72.896   -92.992
27735.2     72.567   -94.337
28138.6     72.127   -95.142
28547.9     71.628   -95.264
28963.1     71.132   -94.655
29384.4     70.693   -93.402
29811.8     70.331   -91.707
30245.4     70.004   -89.680
30685.3     69.738   -87.391
31131.7     69.526   -84.966
31584.5     69.368   -82.458
32043.9     69.292   -79.957
32510.0     69.271   -77.553
32982.8     69.270   -75.254
33462.6     69.280   -73.029
33949.3     69.338   -70.876
34443.1     69.462   -68.886
34944.1     69.622   -67.103
35452.4     69.808   -65.532
35968.0     69.985   -64.159
36491.2     70.174   -62.944
37022.0     70.423   -61.971
37560.5     70.752   -61.422
38106.8     71.140   -61.333
38661.1     71.496   -61.728
39223.4     71.743   -62.223
39793.9     71.902   -62.790
