Freq[Hz]      Mag   Phase[Deg]
177.019      0.000     0.000
179.594      0.000     0.000
182.206      0.000     0.000
184.856      0.000     0.000
187.545      0.000     0.000
190.273      0.000     0.000
193.041      0.000     0.000
195.849      0.000     0.000
198.697      0.000     0.000
201.587      0.000     0.000
204.520      0.000     0.000
207.494      0.000     0.000
210.512      0.000     0.000
213.574      0.000     0.000
216.681      0.000     0.000
219.833      0.000     0.000
223.030      0.000     0.000
226.274      0.000     0.000
229.565      0.000     0.000
232.905      0.000     0.000
236.292      0.000     0.000
239.729      0.000     0.000
243.216      0.000     0.000
246.754      0.000     0.000
250.343      0.000     0.000
253.984      0.000     0.000
257.678      0.000     0.000
261.426      0.000     0.000
265.229      0.000     0.000
269.087      0.000     0.000
273.001      0.000     0.000
276.972      0.000     0.000
281.000      0.000     0.000
285.088      0.000     0.000
289.234      0.000     0.000
293.441      0.000     0.000
297.709      0.000     0.000
302.040      0.000     0.000
306.433      0.000     0.000
310.890      0.000     0.000
315.412      0.000     0.000
320.000      0.000     0.000
324.655      0.000     0.000
329.377      0.000     0.000
334.168      0.000     0.000
339.028      0.000     0.000
343.959      0.000     0.000
348.962      0.000     0.000
354.038      0.000     0.000
359.188      0.000     0.000
364.412      0.000     0.000
369.713      0.000     0.000
375.090      0.000     0.000
380.546      0.000     0.000
386.081      0.000     0.000
391.697      0.000     0.000
397.394      0.000     0.000
403.175      0.000     0.000
409.039      0.000     0.000
414.989      0.000     0.000
421.025      0.000     0.000
427.149      0.000     0.000
433.362      0.000     0.000
439.665      0.000     0.000
446.060      0.000     0.000
452.548      0.000     0.000
459.131      0.000     0.000
465.809      0.000     0.000
472.584      0.000     0.000
479.458      0.000     0.000
486.432      0.000     0.000
493.507      0.000     0.000
500.686      0.000     0.000
507.968      0.000     0.000
515.357      0.000     0.000
522.853      0.000     0.000
530.458      0.000     0.000
538.174      0.000     0.000
546.002      0.000     0.000
553.943      0.000     0.000
562.001      0.000     0.000
570.175      0.000     0.000
578.469      0.000     0.000
586.883      0.000     0.000
595.419      0.000     0.000
604.080      0.000     0.000
612.866      0.000     0.000
621.780      0.000     0.000
630.824      0.000     0.000
640.000      0.000     0.000
649.309      0.000     0.000
658.753      0.000     0.000
668.335      0.000     0.000
678.056      0.000     0.000
687.919      0.000     0.000
697.925      0.000     0.000
708.077      0.000     0.000
718.376      0.000     0.000
728.825      0.000     0.000
739.426      0.000     0.000
750.181      0.000     0.000
761.093      0.000     0.000
772.163      0.000     0.000
783.394      0.000     0.000
794.789      0.000     0.000
806.349      0.000     0.000
818.078      0.000     0.000
829.977      0.000     0.000
842.050      0.000     0.000
854.298      0.000     0.000
866.724      0.000     0.000
879.330      0.000     0.000
892.120      0.000     0.000
905.097      0.000     0.000
918.262      0.000     0.000
931.618      0.000     0.000
945.169      0.000     0.000
958.917      0.000     0.000
972.864      0.000     0.000
987.015      0.000     0.000
1001.37      0.000     0.000
1015.94      0.000     0.000
1030.71      0.000     0.000
1045.71      0.000     0.000
1060.92      0.000     0.000
1076.35      0.000     0.000
1092.00      0.000     0.000
1107.89      0.000     0.000
1124.00      0.000     0.000
1140.35      0.000     0.000
1156.94      0.000     0.000
1173.77      0.000     0.000
1190.84      0.000     0.000
1208.16      0.000     0.000
1225.73      0.000     0.000
1243.56      0.000     0.000
1261.65      0.000     0.000
1280.00      0.000     0.000
1298.62      0.000     0.000
1317.51      0.000     0.000
1336.67      0.000     0.000
1356.11      0.000     0.000
1375.84      0.000     0.000
1395.85      0.000     0.000
1416.15      0.000     0.000
1436.75      0.000     0.000
1457.65      0.000     0.000
1478.85      0.000     0.000
1500.36      0.000     0.000
1522.19      0.000     0.000
1544.33      0.000     0.000
1566.79      0.000     0.000
1589.58      0.000     0.000
1612.70      0.000     0.000
1636.16      0.000     0.000
1659.95      0.000     0.000
1684.10      0.000     0.000
1708.60      0.000     0.000
1733.45      0.000     0.000
1758.66      0.000     0.000
1784.24      0.000     0.000
1810.19      0.000     0.000
1836.52      0.000     0.000
1863.24      0.000     0.000
1890.34      0.000     0.000
1917.83      0.000     0.000
1945.73      0.000     0.000
1974.03      0.000     0.000
2002.74      0.000     0.000
2031.87      0.000     0.000
2061.43      0.000     0.000
2091.41      0.000     0.000
2121.83      0.000     0.000
2152.69      0.000     0.000
2184.01      0.000     0.000
2215.77      0.000     0.000
2248.00      0.000     0.000
2280.70      0.000     0.000
2313.87      0.000     0.000
2347.53      0.000     0.000
2381.68      0.000     0.000
2416.32      0.000     0.000
2451.46      0.000     0.000
2487.12      0.000     0.000
2523.30      0.000     0.000
2560.00      0.000     0.000
2597.24      0.000     0.000
2635.01      0.000     0.000
2673.34      0.000     0.000
2712.23      0.000     0.000
2751.68      0.000     0.000
2791.70      0.000     0.000
2832.31      0.000     0.000
2873.50      0.000     0.000
2915.30      0.000     0.000
2957.70      0.000     0.000
3000.72      0.000     0.000
3044.37      0.000     0.000
3088.65      0.000     0.000
3133.58      0.000     0.000
3179.16      0.000     0.000
3225.40      0.000     0.000
3272.31      0.000     0.000
3319.91      0.000     0.000
3368.20      0.000     0.000
3417.19      0.000     0.000
3466.89      0.000     0.000
3517.32      0.000     0.000
3568.48      0.000     0.000
3620.39      0.000     0.000
3673.05      0.000     0.000
3726.47      0.000     0.000
3780.67      0.000     0.000
3835.67      0.000     0.000
3891.46      0.000     0.000
3948.06      0.000     0.000
4005.49      0.000     0.000
4063.75      0.000     0.000
4122.86      0.000     0.000
4182.82      0.000     0.000
4243.66      0.000     0.000
4305.39      0.000     0.000
4368.01      0.000     0.000
4431.55      0.000     0.000
4496.01      0.000     0.000
4561.40      0.000     0.000
4627.75      0.000     0.000
4695.06      0.000     0.000
4763.35      0.000     0.000
4832.64      0.000     0.000
4902.93      0.000     0.000
4974.24      0.000     0.000
5046.60      0.000     0.000
5120.00      0.000     0.000
5194.47      0.000     0.000
5270.03      0.000     0.000
5346.68      0.000     0.000
5424.45      0.000     0.000
5503.35      0.000     0.000
5583.40      0.000     0.000
5664.61      0.000     0.000
5747.01      0.000     0.000
5830.60      0.000     0.000
5915.41      0.000     0.000
6001.45      0.000     0.000
6088.74      0.000     0.000
6177.30      0.000     0.000
6267.15      0.000     0.000
6358.31      0.000     0.000
6450.80      0.000     0.000
6544.62      0.000     0.000
6639.82      0.000     0.000
6736.40      0.000     0.000
6834.38      0.000     0.000
6933.79      0.000     0.000
7034.64      0.000     0.000
7136.96      0.000     0.000
7240.77      0.000     0.000
7346.09      0.000     0.000
7452.94      0.000     0.000
7561.35      0.000     0.000
7671.33      0.000     0.000
7782.91      0.000     0.000
7896.12      0.000     0.000
8010.97      0.000     0.000
8127.49      0.000     0.000
8245.71      0.000     0.000
8365.65      0.000     0.000
8487.33      0.000     0.000
8610.78      0.000     0.000
8736.03      0.000     0.000
8863.09      0.000     0.000
8992.01      0.000     0.000
9122.80      0.000     0.000
9255.50      0.000     0.000
9390.12      0.000     0.000
9526.70      0.000     0.000
9665.27      0.000     0.000
9805.86      0.000     0.000
