Freq[Hz]     dBSPL  Phase[Deg]
134.543     84.549    -5.174
136.500     84.526    -4.943
138.486     84.509    -4.700
140.500     84.489    -4.447
142.544     84.468    -4.173
144.617     84.448    -3.865
146.721     84.432    -3.521
148.855     84.428    -3.157
151.020     84.443    -2.810
153.217     84.472    -2.515
155.445     84.504    -2.282
157.706     84.530    -2.105
160.000     84.541    -1.954
162.327     84.543    -1.794
164.688     84.546    -1.610
167.084     84.561    -1.422
169.514     84.587    -1.260
171.980     84.605    -1.110
174.481     84.615    -0.947
177.019     84.611    -0.755
179.594     84.612    -0.521
182.206     84.638    -0.271
184.856     84.686    -0.053
187.545     84.740     0.100
190.273     84.783     0.187
193.041     84.822     0.217
195.849     84.862     0.195
198.697     84.896     0.145
201.587     84.927     0.077
204.520     84.943    -0.006
207.494     84.946    -0.068
210.512     84.946    -0.083
213.574     84.947    -0.046
216.681     84.949     0.046
219.833     84.964     0.166
223.030     84.996     0.271
226.274     85.045     0.326
229.565     85.109     0.292
232.905     85.159     0.172
236.292     85.197    -0.002
239.729     85.222    -0.211
243.216     85.247    -0.449
246.754     85.279    -0.729
250.343     85.311    -1.072
253.984     85.334    -1.484
257.678     85.328    -1.938
261.426     85.285    -2.353
265.229     85.219    -2.662
269.087     85.139    -2.830
273.001     85.057    -2.828
276.972     85.009    -2.701
281.000     84.986    -2.533
285.088     84.989    -2.382
289.234     85.012    -2.314
293.441     85.037    -2.361
297.709     85.057    -2.518
302.040     85.069    -2.775
306.433     85.059    -3.099
310.890     85.026    -3.443
315.412     84.972    -3.768
320.000     84.884    -4.005
324.655     84.778    -4.087
329.377     84.658    -3.983
334.168     84.547    -3.692
339.028     84.469    -3.260
343.959     84.426    -2.763
348.962     84.411    -2.272
354.038     84.409    -1.834
359.188     84.409    -1.451
364.412     84.409    -1.102
369.713     84.410    -0.772
375.090     84.416    -0.456
380.546     84.436    -0.179
386.081     84.468     0.028
391.697     84.500     0.158
397.394     84.526     0.218
403.175     84.526     0.246
409.039     84.501     0.315
414.989     84.470     0.463
421.025     84.441     0.696
427.149     84.429     0.998
433.362     84.437     1.323
439.665     84.456     1.632
446.060     84.479     1.912
452.548     84.502     2.167
459.131     84.523     2.418
465.809     84.547     2.672
472.584     84.582     2.916
479.458     84.631     3.124
486.432     84.695     3.263
493.507     84.766     3.301
500.686     84.837     3.224
507.968     84.889     3.059
515.357     84.926     2.844
522.853     84.943     2.610
530.458     84.946     2.395
538.174     84.946     2.213
546.002     84.946     2.057
553.943     84.946     1.914
562.001     84.946     1.767
570.175     84.946     1.607
578.469     84.943     1.430
586.883     84.927     1.252
595.419     84.895     1.102
604.080     84.862     0.984
612.866     84.822     0.905
621.780     84.784     0.878
630.824     84.749     0.885
640.000     84.715     0.905
649.309     84.676     0.942
658.753     84.637     1.009
668.335     84.600     1.094
678.056     84.552     1.203
687.919     84.499     1.367
697.925     84.455     1.572
708.077     84.403     1.818
718.376     84.353     2.127
728.825     84.309     2.480
739.426     84.256     2.895
750.181     84.209     3.402
761.093     84.162     4.009
772.163     84.112     4.759
783.394     84.089     5.642
794.789     84.107     6.586
806.349     84.174     7.513
818.078     84.289     8.320
829.977     84.429     8.928
842.050     84.574     9.319
854.298     84.711     9.518
866.724     84.832     9.572
879.330     84.944     9.514
892.120     85.045     9.361
905.097     85.137     9.137
918.262     85.223     8.852
931.618     85.285     8.526
945.169     85.329     8.193
958.917     85.367     7.854
972.864     85.404     7.501
987.015     85.437     7.134
1001.37     85.467     6.737
1015.94     85.479     6.304
1030.71     85.469     5.869
1045.71     85.441     5.475
1060.92     85.395     5.147
1076.35     85.333     4.911
1092.00     85.276     4.761
1107.89     85.219     4.684
1124.00     85.162     4.680
1140.35     85.104     4.733
1156.94     85.032     4.859
1173.77     84.960     5.089
1190.84     84.886     5.438
1208.16     84.816     5.924
1225.73     84.758     6.535
1243.56     84.729     7.227
1261.65     84.735     7.945
1280.00     84.759     8.655
1298.62     84.795     9.345
1317.51     84.832    10.015
1336.67     84.878    10.685
1356.11     84.943    11.360
1375.84     85.040    11.996
1395.85     85.157    12.544
1416.15     85.291    12.979
1436.75     85.436    13.279
1457.65     85.582    13.441
1478.85     85.729    13.473
1500.36     85.876    13.375
1522.19     86.022    13.139
1544.33     86.168    12.754
1566.79     86.305    12.215
1589.58     86.418    11.547
1612.70     86.497    10.803
1636.16     86.541    10.033
1659.95     86.556     9.278
1684.10     86.558     8.566
1708.60     86.556     7.893
1733.45     86.537     7.258
1758.66     86.489     6.697
1784.24     86.420     6.245
1810.19     86.331     5.935
1836.52     86.231     5.819
1863.24     86.147     5.890
1890.34     86.082     6.090
1917.83     86.040     6.380
1945.73     86.024     6.711
1974.03     86.022     7.047
2002.74     86.022     7.387
2031.87     86.025     7.747
2061.43     86.042     8.128
2091.41     86.079     8.506
2121.83     86.133     8.864
2152.69     86.205     9.172
2184.01     86.285     9.406
2215.77     86.374     9.562
2248.00     86.467     9.637
2280.70     86.568     9.623
2313.87     86.679     9.489
2347.53     86.786     9.229
2381.68     86.890     8.851
2416.32     86.981     8.355
2451.46     87.039     7.791
2487.12     87.077     7.212
2523.30     87.094     6.647
2560.00     87.096     6.121
2597.24     87.096     5.639
2635.01     87.094     5.189
