Freq[Hz]     dBSPL  Phase[Deg]
160.000     76.323    38.359
162.327     76.412    38.274
164.688     76.550    38.258
167.084     76.749    38.114
169.514     76.998    37.611
171.980     77.252    36.617
174.481     77.473    35.158
177.019     77.644    33.325
179.594     77.751    31.225
182.206     77.788    28.964
184.856     77.755    26.618
187.545     77.630    24.296
190.273     77.398    22.238
193.041     77.074    20.703
195.849     76.675    19.933
198.697     76.261    20.067
201.587     75.910    20.985
204.520     75.647    22.455
207.494     75.493    24.276
210.512     75.446    26.278
213.574     75.514    28.329
216.681     75.710    30.252
219.833     76.053    31.729
223.030     76.489    32.408
226.274     76.954    32.062
229.565     77.367    30.626
232.905     77.635    28.374
236.292     77.740    25.807
239.729     77.702    23.351
243.216     77.537    21.363
246.754     77.316    20.034
250.343     77.087    19.316
253.984     76.875    19.108
257.678     76.695    19.339
261.426     76.572    19.916
265.229     76.521    20.702
269.087     76.559    21.522
273.001     76.693    22.113
276.972     76.893    22.197
281.000     77.100    21.611
285.088     77.244    20.406
289.234     77.274    18.868
293.441     77.180    17.393
297.709     76.974    16.365
302.040     76.708    16.071
306.433     76.461    16.541
310.890     76.281    17.592
315.412     76.195    18.994
320.000     76.208    20.527
324.655     76.307    22.048
329.377     76.498    23.442
334.168     76.778    24.554
339.028     77.137    25.221
343.959     77.555    25.248
348.962     77.985    24.470
354.038     78.363    22.916
359.188     78.659    20.775
364.412     78.866    18.243
369.713     78.980    15.491
375.090     79.007    12.650
380.546     78.942     9.830
386.081     78.782     7.174
391.697     78.531     4.852
397.394     78.195     3.064
403.175     77.820     1.930
409.039     77.444     1.416
414.989     77.087     1.456
421.025     76.777     1.956
427.149     76.513     2.837
433.362     76.312     4.061
439.665     76.212     5.474
446.060     76.216     6.826
452.548     76.315     7.870
459.131     76.477     8.363
465.809     76.634     8.213
472.584     76.725     7.581
479.458     76.731     6.762
486.432     76.655     6.064
493.507     76.526     5.737
500.686     76.403     5.857
507.968     76.338     6.281
515.357     76.356     6.732
522.853     76.446     6.914
530.458     76.571     6.598
538.174     76.670     5.707
546.002     76.683     4.402
553.943     76.586     3.007
562.001     76.384     1.856
570.175     76.102     1.229
578.469     75.802     1.238
586.883     75.537     1.768
595.419     75.329     2.625
604.080     75.188     3.603
612.866     75.094     4.533
621.780     75.018     5.378
630.824     74.952     6.157
640.000     74.885     6.891
649.309     74.808     7.635
658.753     74.725     8.437
668.335     74.633     9.332
678.056     74.529    10.397
687.919     74.422    11.712
697.925     74.322    13.353
708.077     74.256    15.381
718.376     74.265    17.761
728.825     74.391    20.303
739.426     74.643    22.730
750.181     75.003    24.775
761.093     75.441    26.216
772.163     75.903    26.961
783.394     76.361    27.058
794.789     76.808    26.533
806.349     77.210    25.419
818.078     77.558    23.762
829.977     77.812    21.640
842.050     77.941    19.299
854.298     77.951    17.045
866.724     77.855    15.146
879.330     77.693    13.803
892.120     77.517    13.044
905.097     77.359    12.773
918.262     77.239    12.876
931.618     77.167    13.237
945.169     77.147    13.773
958.917     77.201    14.371
972.864     77.341    14.818
987.015     77.553    14.875
1001.37     77.813    14.278
1015.94     78.044    12.866
1030.71     78.162    10.803
1045.71     78.130     8.474
1060.92     77.934     6.364
1076.35     77.600     4.954
1092.00     77.209     4.506
1107.89     76.851     4.945
1124.00     76.577     5.992
1140.35     76.410     7.330
1156.94     76.336     8.687
1173.77     76.324     9.906
1190.84     76.340    10.960
1208.16     76.371    11.898
1225.73     76.413    12.769
1243.56     76.469    13.604
1261.65     76.541    14.419
1280.00     76.639    15.192
1298.62     76.763    15.869
1317.51     76.906    16.419
1336.67     77.066    16.824
1356.11     77.240    17.063
1375.84     77.424    17.127
1395.85     77.625    16.974
1416.15     77.832    16.524
1436.75     78.029    15.718
1457.65     78.187    14.556
1478.85     78.280    13.140
1500.36     78.296    11.638
1522.19     78.239    10.212
1544.33     78.114     9.014
1566.79     77.945     8.132
1589.58     77.741     7.612
1612.70     77.510     7.520
1636.16     77.263     7.955
1659.95     77.036     8.988
1684.10     76.873    10.576
1708.60     76.822    12.526
1733.45     76.903    14.542
1758.66     77.108    16.318
1784.24     77.405    17.586
1810.19     77.739    18.220
1836.52     78.065    18.263
1863.24     78.370    17.799
1890.34     78.637    16.902
1917.83     78.852    15.657
1945.73     79.001    14.177
1974.03     79.079    12.599
2002.74     79.084    11.068
2031.87     79.024     9.742
2061.43     78.924     8.722
2091.41     78.807     8.021
2121.83     78.687     7.618
2152.69     78.575     7.473
2184.01     78.472     7.569
2215.77     78.390     7.911
2248.00     78.346     8.450
2280.70     78.349     9.100
2313.87     78.403     9.767
2347.53     78.508    10.346
2381.68     78.650    10.766
2416.32     78.828    10.984
2451.46     79.036    10.930
2487.12     79.263    10.539
2523.30     79.499     9.728
2560.00     79.708     8.448
2597.24     79.851     6.801
2635.01     79.916     4.980
2673.34     79.900     3.188
2712.23     79.818     1.621
2751.68     79.706     0.368
2791.70     79.593    -0.614
2832.31     79.492    -1.419
2873.50     79.405    -2.139
2915.30     79.326    -2.842
2957.70     79.243    -3.539
3000.72     79.155    -4.214
3044.37     79.062    -4.869
3088.65     78.961    -5.494
3133.58     78.855    -6.077
3179.16     78.744    -6.622
3225.40     78.628    -7.137
3272.31     78.506    -7.619
3319.91     78.379    -8.067
3368.20     78.244    -8.486
3417.19     78.101    -8.876
3466.89     77.943    -9.214
3517.32     77.774    -9.477
3568.48     77.593    -9.650
3620.39     77.402    -9.717
3673.05     77.201    -9.667
3726.47     76.993    -9.488
3780.67     76.776    -9.158
3835.67     76.552    -8.652
3891.46     76.325    -7.945
3948.06     76.099    -7.017
4005.49     75.873    -5.830
4063.75     75.660    -4.342
4122.86     75.463    -2.495
4182.82     75.311    -0.234
4243.66     75.248     2.388
4305.39     75.318     5.147
4368.01     75.535     7.703
4431.55     75.876     9.692
4496.01     76.283    10.820
4561.40     76.667    11.014
4627.75     76.967    10.487
4695.06     77.171     9.537
4763.35     77.267     8.475
4832.64     77.286     7.555
4902.93     77.260     6.869
4974.24     77.203     6.441
5046.60     77.134     6.266
5120.00     77.062     6.315
5194.47     76.994     6.574
5270.03     76.941     7.012
5346.68     76.904     7.588
5424.45     76.886     8.286
5503.35     76.891     9.102
5583.40     76.928    10.024
5664.61     77.014    10.993
5747.01     77.160    11.882
5830.60     77.361    12.540
5915.41     77.602    12.818
6001.45     77.848    12.624
6088.74     78.061    11.996
6177.30     78.224    11.063
6267.15     78.333     9.955
6358.31     78.391     8.777
6450.80     78.403     7.588
6544.62     78.365     6.445
6639.82     78.277     5.433
6736.40     78.140     4.656
6834.38     77.962     4.251
6933.79     77.779     4.296
7034.64     77.629     4.728
7136.96     77.534     5.387
7240.77     77.498     6.098
7346.09     77.512     6.698
7452.94     77.547     7.095
7561.35     77.576     7.308
7671.33     77.588     7.413
7782.91     77.574     7.510
7896.12     77.544     7.686
8010.97     77.510     7.975
8127.49     77.478     8.381
8245.71     77.461     8.880
8365.65     77.458     9.436
8487.33     77.471    10.024
8610.78     77.497    10.624
8736.03     77.535    11.235
8863.09     77.591    11.838
8992.01     77.656    12.432
9122.80     77.738    13.025
9255.50     77.842    13.593
9390.12     77.972    14.098
9526.70     78.135    14.457
9665.27     78.316    14.588
9805.86     78.506    14.434
9948.49     78.679    13.976
10093.2     78.811    13.300
10240.0     78.903    12.519
10388.9     78.955    11.729
10540.1     78.975    11.019
10693.4     78.982    10.410
10848.9     78.983     9.877
11006.7     78.983     9.381
11166.8     78.979     8.879
11329.2     78.967     8.343
11494.0     78.933     7.781
11661.2     78.869     7.254
11830.8     78.775     6.836
12002.9     78.651     6.608
12177.5     78.511     6.645
12354.6     78.376     6.950
12534.3     78.253     7.496
12716.6     78.152     8.252
12901.6     78.078     9.175
13089.2     78.031    10.255
13279.6     78.028    11.455
13472.8     78.076    12.680
13668.8     78.175    13.826
13867.6     78.317    14.782
14069.3     78.480    15.472
14273.9     78.637    15.911
14481.5     78.774    16.186
14692.2     78.891    16.400
14905.9     78.991    16.639
15122.7     79.087    16.959
15342.7     79.199    17.347
15565.8     79.329    17.754
15792.2     79.482    18.126
16021.9     79.654    18.417
16255.0     79.841    18.589
16491.4     80.034    18.630
16731.3     80.234    18.543
16974.7     80.437    18.315
17221.6     80.639    17.926
17472.1     80.830    17.383
17726.2     81.005    16.710
17984.0     81.155    15.955
18245.6     81.282    15.190
18511.0     81.396    14.463
18780.2     81.506    13.782
19053.4     81.619    13.124
19330.5     81.741    12.446
19611.7     81.867    11.702
19897.0     81.991    10.872
20186.4     82.109     9.956
20480.0     82.211     8.979
20777.9     82.303     7.969
21080.1     82.386     6.926
21386.7     82.455     5.863
21697.8     82.516     4.786
22013.4     82.565     3.695
22333.6     82.599     2.616
22658.4     82.624     1.562
22988.0     82.643     0.528
23322.4     82.655    -0.508
23661.6     82.647    -1.527
24005.8     82.621    -2.471
24355.0     82.576    -3.271
24709.2     82.520    -3.835
25068.6     82.486    -4.138
25433.2     82.502    -4.280
25803.2     82.579    -4.430
26178.5     82.713    -4.768
26559.3     82.880    -5.438
26945.6     83.047    -6.490
27337.5     83.186    -7.858
27735.2     83.287    -9.432
28138.6     83.348   -11.102
28547.9     83.379   -12.784
28963.1     83.392   -14.454
29384.4     83.392   -16.123
29811.8     83.383   -17.823
30245.4     83.361   -19.575
30685.3     83.325   -21.394
31131.7     83.265   -23.273
31584.5     83.180   -25.184
32043.9     83.072   -27.117
32510.0     82.939   -29.084
32982.8     82.776   -31.094
33462.6     82.571   -33.134
33949.3     82.301   -35.098
34443.1     81.967   -36.826
34944.1     81.572   -38.158
35452.4     81.134   -38.939
35968.0     80.704   -39.146
36491.2     80.312   -38.896
37022.0     79.972   -38.316
37560.5     79.694   -37.547
38106.8     79.482   -36.788
38661.1     79.318   -36.077
39223.4     79.208   -35.541
39793.9     79.131   -35.123
