* This data was exported from the Dayton Audio Test System: DATS
*
D    	113	[mm]
Re   	3.793	[Ohms]
Fs   	56.96	[Hz]
Zm   	24.26	[Ohms]
BL   	6.506	[N/A]
Qms  	2.492
Qes  	0.4618
Qts  	0.3896
Vas  	7.66 	[liters]
L10k 	0.185	[mH]
n0   	0.2923	[%]
dBSPL  	86.76	[1W/1m]
Ms   	14.4	[grams]
Cms  	0.542	[mm/N]
*
*
Freq            Impedance       Phase
279.170    	4.146    	-9.011    
287.350    	4.134    	-7.895    
295.770    	4.122    	-6.839    
304.437    	4.117    	-5.654    
313.358    	4.123    	-4.417    
322.540    	4.145    	-3.047    
331.991    	4.199    	-1.973    
341.719    	4.268    	-1.607    
351.732    	4.252    	-1.867    
362.039    	4.204    	-1.104    
372.647    	4.194    	-0.104    
383.567    	4.193    	0.749    
394.806    	4.185    	1.656    
406.375    	4.185    	2.747    
418.282    	4.196    	3.749    
430.539    	4.215    	4.741    
443.155    	4.234    	5.670    
456.140    	4.258    	6.567    
469.506    	4.285    	7.456    
483.264    	4.312    	8.256    
497.424    	4.339    	9.070    
512.000    	4.370    	9.874    
527.003    	4.403    	10.622    
542.445    	4.434    	11.304    
558.340    	4.465    	12.044    
574.701    	4.491    	12.701    
591.541    	4.521    	13.437    
608.874    	4.553    	14.181    
626.715    	4.586    	14.924    
645.080    	4.618    	15.635    
663.982    	4.655    	16.417    
683.438    	4.696    	17.157    
703.464    	4.740    	17.943    
724.077    	4.791    	18.696    
745.294    	4.848    	19.374    
767.133    	4.897    	20.016    
789.612    	4.956    	20.615    
812.749    	5.004    	21.204    
836.565    	5.059    	21.856    
861.078    	5.117    	22.504    
886.309    	5.179    	23.153    
912.280    	5.249    	23.728    
939.012    	5.319    	24.275    
966.527    	5.393    	24.774    
994.849    	5.470    	25.266    
1024.000    	5.541    	25.605    
1054.005    	5.614    	25.932    
1084.890    	5.682    	26.233    
1116.680    	5.741    	26.568    
1149.401    	5.801    	26.909    
1183.081    	5.856    	27.328    
1217.748    	5.918    	27.767    
1253.431    	5.982    	28.243    
1290.159    	6.050    	28.732    
1327.964    	6.119    	29.181    
1366.876    	6.198    	29.688    
1406.929    	6.280    	30.088    
1448.155    	6.365    	30.503    
1490.589    	6.448    	30.875    
1534.266    	6.532    	31.236    
1579.224    	6.617    	31.610    
1625.499    	6.704    	31.898    
1673.129    	6.791    	32.229    
