Freq[Hz]     dBSPL  Phase[Deg]
177.019     85.410    73.984
179.594     85.543    73.598
182.206     85.668    73.301
184.856     85.801    73.085
187.545     85.947    72.896
190.273     86.106    72.684
193.041     86.277    72.386
195.849     86.437    71.987
198.697     86.581    71.541
201.587     86.704    71.119
204.520     86.811    70.800
207.494     86.917    70.644
210.512     87.041    70.648
213.574     87.201    70.738
216.681     87.401    70.800
219.833     87.634    70.730
223.030     87.884    70.461
226.274     88.138    69.975
229.565     88.385    69.285
232.905     88.613    68.431
236.292     88.819    67.480
239.729     89.007    66.475
243.216     89.177    65.447
246.754     89.335    64.422
250.343     89.486    63.399
253.984     89.630    62.368
257.678     89.768    61.315
261.426     89.893    60.253
265.229     90.007    59.205
269.087     90.115    58.183
273.001     90.219    57.189
276.972     90.322    56.215
281.000     90.425    55.242
285.088     90.529    54.254
289.234     90.631    53.235
293.441     90.727    52.173
297.709     90.811    51.082
302.040     90.878    50.003
306.433     90.932    48.981
310.890     90.981    48.040
315.412     91.034    47.178
320.000     91.098    46.361
324.655     91.175    45.535
329.377     91.263    44.647
334.168     91.351    43.670
339.028     91.434    42.601
343.959     91.503    41.458
348.962     91.554    40.280
354.038     91.587    39.105
359.188     91.604    37.971
364.412     91.610    36.902
369.713     91.612    35.900
375.090     91.612    34.952
380.546     91.612    34.044
386.081     91.612    33.165
391.697     91.612    32.308
397.394     91.612    31.466
403.175     91.612    30.634
409.039     91.612    29.803
414.989     91.612    28.966
421.025     91.612    28.106
427.149     91.609    27.203
433.362     91.597    26.243
439.665     91.566    25.242
446.060     91.504    24.265
452.548     91.414    23.406
459.131     91.303    22.744
465.809     91.187    22.320
472.584     91.089    22.111
479.458     91.020    22.033
486.432     90.980    21.994
493.507     90.961    21.933
500.686     90.956    21.821
507.968     90.954    21.665
515.357     90.954    21.481
522.853     90.954    21.289
530.458     90.954    21.105
538.174     90.954    20.950
546.002     90.959    20.843
553.943     90.974    20.794
562.001     91.014    20.770
570.175     91.083    20.686
578.469     91.175    20.456
586.883     91.275    20.031
595.419     91.367    19.406
604.080     91.438    18.633
612.866     91.485    17.788
621.780     91.515    16.923
630.824     91.537    16.039
640.000     91.550    15.108
649.309     91.547    14.115
658.753     91.519    13.086
668.335     91.462    12.081
678.056     91.376    11.168
687.919     91.270    10.402
697.925     91.156     9.799
708.077     91.045     9.334
718.376     90.940     8.966
728.825     90.843     8.652
739.426     90.746     8.370
750.181     90.645     8.115
761.093     90.533     7.911
772.163     90.405     7.817
783.394     90.266     7.898
794.789     90.125     8.206
806.349     90.000     8.748
818.078     89.906     9.483
829.977     89.850    10.348
842.050     89.838    11.279
854.298     89.874    12.200
866.724     89.959    13.020
879.330     90.087    13.639
892.120     90.244    13.961
905.097     90.404    13.952
918.262     90.544    13.658
931.618     90.654    13.171
945.169     90.731    12.595
