Freq[Hz]     dBSPL  Phase[Deg]
177.019     87.979     3.206
179.594     88.130     4.081
182.206     88.284     4.479
184.856     88.409     4.460
187.545     88.492     4.152
190.273     88.539     3.703
193.041     88.529     3.244
195.849     88.475     2.885
198.697     88.358     2.752
201.587     88.255     2.905
204.520     88.174     3.305
207.494     88.136     3.899
210.512     88.153     4.567
213.574     88.204     5.199
216.681     88.287     5.746
219.833     88.395     6.168
223.030     88.520     6.437
226.274     88.655     6.541
229.565     88.792     6.486
232.905     88.933     6.274
236.292     89.065     5.916
239.729     89.189     5.422
243.216     89.310     4.777
246.754     89.426     3.973
250.343     89.526     3.012
253.984     89.587     1.938
257.678     89.599     0.811
261.426     89.567    -0.313
265.229     89.483    -1.327
269.087     89.379    -2.156
273.001     89.227    -2.725
276.972     89.047    -2.940
281.000     88.890    -2.807
285.088     88.758    -2.357
289.234     88.701    -1.668
293.441     88.724    -0.963
297.709     88.811    -0.410
302.040     88.954    -0.115
306.433     89.092    -0.089
310.890     89.187    -0.238
315.412     89.269    -0.515
320.000     89.351    -0.911
324.655     89.454    -1.407
329.377     89.567    -2.044
334.168     89.653    -2.844
339.028     89.678    -3.724
343.959     89.659    -4.561
348.962     89.623    -5.298
354.038     89.576    -5.905
359.188     89.528    -6.366
364.412     89.516    -6.777
369.713     89.521    -7.240
375.090     89.548    -7.799
380.546     89.557    -8.448
386.081     89.505    -9.078
391.697     89.400    -9.558
397.394     89.270    -9.807
403.175     89.178    -9.814
409.039     89.166    -9.726
414.989     89.216    -9.733
421.025     89.293    -9.961
427.149     89.354   -10.437
433.362     89.379   -11.110
439.665     89.373   -11.921
446.060     89.330   -12.788
452.548     89.238   -13.590
459.131     89.087   -14.206
465.809     88.881   -14.536
472.584     88.660   -14.502
479.458     88.460   -14.077
486.432     88.308   -13.285
493.507     88.184   -12.172
500.686     88.093   -10.753
507.968     88.076    -9.117
515.357     88.190    -7.494
522.853     88.448    -6.198
530.458     88.794    -5.470
538.174     89.147    -5.384
546.002     89.445    -5.850
553.943     89.671    -6.689
562.001     89.834    -7.712
570.175     89.951    -8.780
578.469     90.039    -9.832
586.883     90.106   -10.854
595.419     90.171   -11.856
604.080     90.232   -12.860
612.866     90.276   -13.861
621.780     90.301   -14.850
630.824     90.301   -15.807
640.000     90.288   -16.704
649.309     90.274   -17.531
658.753     90.257   -18.288
668.335     90.233   -18.959
678.056     90.194   -19.512
687.919     90.158   -19.935
697.925     90.161   -20.312
708.077     90.211   -20.752
718.376     90.302   -21.338
728.825     90.387   -22.119
739.426     90.426   -23.040
750.181     90.414   -23.987
761.093     90.372   -24.855
772.163     90.321   -25.586
783.394     90.286   -26.192
794.789     90.270   -26.725
806.349     90.276   -27.238
818.078     90.298   -27.791
829.977     90.331   -28.423
842.050     90.374   -29.159
854.298     90.402   -29.954
866.724     90.389   -30.707
879.330     90.365   -31.380
892.120     90.350   -31.989
905.097     90.386   -32.603
918.262     90.489   -33.367
931.618     90.620   -34.436
945.169     90.730   -35.835
958.917     90.791   -37.508
972.864     90.792   -39.357
987.015     90.722   -41.255
1001.37     90.591   -43.077
1015.94     90.404   -44.717
1030.71     90.182   -46.114
1045.71     89.937   -47.232
1060.92     89.675   -48.038
1076.35     89.424   -48.551
1092.00     89.175   -48.795
1107.89     88.951   -48.806
1124.00     88.757   -48.627
1140.35     88.586   -48.280
1156.94     88.432   -47.784
1173.77     88.297   -47.128
1190.84     88.201   -46.336
1208.16     88.143   -45.441
1225.73     88.136   -44.499
1243.56     88.196   -43.627
1261.65     88.304   -42.930
1280.00     88.465   -42.497
1298.62     88.653   -42.402
1317.51     88.828   -42.628
1336.67     88.974   -43.088
1356.11     89.078   -43.665
1375.84     89.148   -44.246
1395.85     89.206   -44.779
1416.15     89.281   -45.281
1436.75     89.380   -45.810
1457.65     89.492   -46.419
1478.85     89.607   -47.135
1500.36     89.710   -47.955
1522.19     89.802   -48.849
1544.33     89.887   -49.801
1566.79     89.964   -50.801
1589.58     90.032   -51.832
1612.70     90.087   -52.858
1636.16     90.129   -53.846
1659.95     90.167   -54.784
1684.10     90.214   -55.694
1708.60     90.287   -56.634
1733.45     90.382   -57.676
1758.66     90.483   -58.854
1784.24     90.575   -60.171
1810.19     90.634   -61.568
1836.52     90.661   -62.967
1863.24     90.682   -64.353
1890.34     90.690   -65.706
1917.83     90.694   -67.002
1945.73     90.714   -68.278
1974.03     90.721   -69.538
2002.74     90.738   -70.772
2031.87     90.764   -72.010
2061.43     90.789   -73.284
2091.41     90.828   -74.633
2121.83     90.862   -76.093
2152.69     90.882   -77.656
2184.01     90.886   -79.318
2215.77     90.850   -80.995
2248.00     90.781   -82.586
2280.70     90.688   -84.024
2313.87     90.586   -85.285
2347.53     90.498   -86.387
2381.68     90.441   -87.401
2416.32     90.409   -88.388
2451.46     90.386   -89.383
2487.12     90.355   -90.385
2523.30     90.317   -91.379
2560.00     90.288   -92.359
2597.24     90.268   -93.326
2635.01     90.268   -94.299
2673.34     90.275   -95.310
2712.23     90.286   -96.376
2751.68     90.293   -97.473
2791.70     90.299   -98.585
2832.31     90.294   -99.684
2873.50     90.279  -100.744
2915.30     90.276  -101.795
2957.70     90.290  -102.876
3000.72     90.311  -103.979
3044.37     90.339  -105.111
3088.65     90.356  -106.267
3133.58     90.365  -107.416
3179.16     90.385  -108.544
3225.40     90.423  -109.678
3272.31     90.469  -110.854
3319.91     90.526  -112.083
3368.20     90.582  -113.381
3417.19     90.639  -114.755
3466.89     90.702  -116.222
3517.32     90.767  -117.800
3568.48     90.832  -119.483
3620.39     90.885  -121.270
3673.05     90.920  -123.147
3726.47     90.922  -125.066
3780.67     90.903  -126.974
3835.67     90.853  -128.819
3891.46     90.784  -130.546
3948.06     90.724  -132.156
4005.49     90.675  -133.694
4063.75     90.645  -135.189
4122.86     90.628  -136.696
4182.82     90.609  -138.245
4243.66     90.577  -139.822
4305.39     90.534  -141.393
4368.01     90.485  -142.936
4431.55     90.431  -144.441
4496.01     90.381  -145.908
4561.40     90.351  -147.376
4627.75     90.326  -148.878
4695.06     90.302  -150.408
4763.35     90.264  -151.957
4832.64     90.200  -153.492
4902.93     90.135  -154.994
4974.24     90.069  -156.477
5046.60     90.000  -157.916
5120.00     89.922  -159.322
5194.47     89.820  -160.668
5270.03     89.697  -161.872
5346.68     89.577  -162.899
5424.45     89.466  -163.740
5503.35     89.400  -164.433
5583.40     89.387  -165.095
5664.61     89.421  -165.818
5747.01     89.498  -166.696
5830.60     89.576  -167.794
5915.41     89.640  -169.089
6001.45     89.685  -170.542
6088.74     89.697  -172.090
6177.30     89.677  -173.628
6267.15     89.628  -175.082
6358.31     89.568  -176.415
6450.80     89.515  -177.614
6544.62     89.488  -178.706
6639.82     89.477  -179.727
6736.40     89.469   179.273
6834.38     89.464   178.265
6933.79     89.463   177.254
7034.64     89.481   176.220
7136.96     89.510   175.158
7240.77     89.539   174.086
7346.09     89.567   173.018
7452.94     89.599   171.967
7561.35     89.656   170.912
7671.33     89.742   169.796
7782.91     89.853   168.576
7896.12     89.977   167.196
8010.97     90.101   165.630
8127.49     90.204   163.903
8245.71     90.284   162.064
8365.65     90.330   160.154
8487.33     90.347   158.228
8610.78     90.344   156.338
8736.03     90.325   154.527
8863.09     90.288   152.833
8992.01     90.252   151.260
9122.80     90.217   149.796
9255.50     90.197   148.437
9390.12     90.195   147.150
9526.70     90.212   145.888
9665.27     90.252   144.604
9805.86     90.315   143.256
9948.49     90.400   141.796
10093.2     90.493   140.176
10240.0     90.575   138.402
10388.9     90.641   136.507
10540.1     90.685   134.518
10693.4     90.712   132.468
10848.9     90.726   130.381
11006.7     90.719   128.281
11166.8     90.675   126.230
11329.2     90.592   124.295
11494.0     90.478   122.538
11661.2     90.358   121.008
11830.8     90.259   119.698
12002.9     90.203   118.527
12177.5     90.183   117.404
12354.6     90.189   116.267
12534.3     90.215   115.065
12716.6     90.244   113.783
12901.6     90.271   112.439
13089.2     90.300   111.057
13279.6     90.324   109.662
13472.8     90.349   108.269
13668.8     90.374   106.892
13867.6     90.408   105.535
14069.3     90.458   104.178
14273.9     90.531   102.780
14481.5     90.634   101.278
14692.2     90.758    99.610
14905.9     90.892    97.738
15122.7     91.008    95.661
15342.7     91.086    93.436
15565.8     91.128    91.135
15792.2     91.141    88.813
16021.9     91.130    86.520
16255.0     91.116    84.270
16491.4     91.094    82.047
16731.3     91.058    79.865
16974.7     91.010    77.741
17221.6     90.950    75.678
17472.1     90.884    73.686
17726.2     90.822    71.762
17984.0     90.775    69.878
18245.6     90.732    68.007
18511.0     90.686    66.155
18780.2     90.637    64.324
19053.4     90.594    62.495
19330.5     90.560    60.652
19611.7     90.542    58.775
19897.0     90.531    56.823
20186.4     90.516    54.769
20480.0     90.493    52.615
20777.9     90.459    50.374
21080.1     90.411    48.056
21386.7     90.347    45.664
21697.8     90.261    43.218
22013.4     90.153    40.754
22333.6     90.013    38.308
22658.4     89.838    35.936
22988.0     89.638    33.686
23322.4     89.428    31.550
23661.6     89.220    29.492
24005.8     89.019    27.433
24355.0     88.795    25.420
24709.2     88.518    23.577
25068.6     88.180    22.009
25433.2     87.775    20.921
25803.2     87.371    20.339
26178.5     87.016    20.175
26559.3     86.731    20.269
26945.6     86.535    20.393
27337.5     86.417    20.395
27735.2     86.350    20.218
28138.6     86.278    19.930
28547.9     86.153    19.623
28963.1     86.041    19.572
29384.4     85.979    19.672
29811.8     85.961    19.732
30245.4     86.026    19.662
30685.3     86.100    18.959
31131.7     86.159    17.724
31584.5     86.198    16.292
32043.9     86.189    14.781
32510.0     86.134    13.324
32982.8     86.040    11.947
33462.6     85.918    10.703
33949.3     85.797     9.597
34443.1     85.688     8.594
34944.1     85.601     7.620
35452.4     85.531     6.578
35968.0     85.445     5.433
36491.2     85.338     4.206
37022.0     85.192     2.947
37560.5     85.020     1.764
38106.8     84.844     0.730
38661.1     84.658    -0.141
39223.4     84.501    -0.846
39793.9     84.383    -1.459
