* This data was exported from the Dayton Audio Test System: DATS
*
D    	29	[mm]
Re   	4.595	[Ohms]
Fs   	3035	[Hz]
Zm   	6.955	[Ohms]
BL   	0	[N/A]
Qms  	1.338
Qes  	2.605
Qts  	0.884
Vas  	0 	[liters]
L10k 	0.05424	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
287.350    	4.632    	2.785    
295.770    	4.633    	2.828    
304.437    	4.635    	2.905    
313.358    	4.635    	2.987    
322.540    	4.636    	3.049    
331.991    	4.638    	3.136    
341.719    	4.640    	3.240    
351.732    	4.642    	3.333    
362.039    	4.644    	3.403    
372.647    	4.646    	3.481    
383.567    	4.646    	3.601    
394.806    	4.648    	3.703    
406.375    	4.651    	3.800    
418.282    	4.653    	3.881    
430.539    	4.655    	3.973    
443.155    	4.656    	4.091    
456.140    	4.660    	4.196    
469.506    	4.659    	4.311    
483.264    	4.660    	4.421    
497.424    	4.664    	4.529    
512.000    	4.666    	4.628    
527.003    	4.669    	4.777    
542.445    	4.671    	4.893    
558.340    	4.674    	5.040    
574.701    	4.677    	5.175    
591.541    	4.680    	5.316    
608.874    	4.682    	5.457    
626.715    	4.687    	5.610    
645.080    	4.691    	5.749    
663.982    	4.696    	5.890    
683.438    	4.698    	6.063    
703.464    	4.701    	6.232    
724.077    	4.706    	6.406    
745.294    	4.712    	6.580    
767.133    	4.716    	6.748    
789.612    	4.720    	6.895    
812.749    	4.726    	7.075    
836.565    	4.733    	7.279    
861.078    	4.738    	7.463    
886.309    	4.746    	7.641    
912.280    	4.751    	7.818    
939.012    	4.758    	7.996    
966.527    	4.761    	8.189    
994.849    	4.768    	8.432    
1024.000    	4.773    	8.606    
1054.005    	4.776    	8.813    
1084.890    	4.782    	9.042    
1116.680    	4.788    	9.253    
1149.401    	4.793    	9.518    
1183.081    	4.798    	9.806    
1217.748    	4.805    	10.077    
1253.431    	4.814    	10.350    
1290.159    	4.822    	10.658    
1327.964    	4.830    	10.929    
1366.876    	4.840    	11.237    
1406.929    	4.851    	11.562    
1448.155    	4.862    	11.884    
1490.589    	4.873    	12.195    
1534.266    	4.884    	12.537    
1579.224    	4.895    	12.924    
1625.499    	4.909    	13.291    
1673.129    	4.921    	13.669    
1722.156    	4.937    	14.069    
1772.619    	4.952    	14.483    
1824.561    	4.969    	14.904    
1878.024    	4.988    	15.378    
1933.055    	5.009    	15.869    
1989.697    	5.031    	16.368    
2048.000    	5.053    	16.857    
2108.011    	5.080    	17.430    
2169.780    	5.108    	18.055    
2233.360    	5.140    	18.673    
2298.802    	5.177    	19.347    
2366.162    	5.218    	20.080    
2435.496    	5.268    	20.886    
2506.862    	5.326    	21.752    
2580.318    	5.401    	22.678    
2655.927    	5.496    	23.698    
2733.752    	5.623    	24.851    
2813.857    	5.803    	26.128    
2896.309    	6.159    	27.215    
2981.178    	6.716    	25.042    
3068.533    	6.971    	19.459    
3158.448    	6.912    	15.666    
3250.997    	6.907    	14.274    
3346.259    	6.847    	13.735    
3444.312    	6.781    	13.747    
3545.238    	6.777    	13.669    
3649.121    	6.796    	13.566    
3756.049    	6.953    	13.404    
3866.109    	7.146    	11.126    
3979.395    	7.144    	7.897    
4096.000    	6.917    	4.994    
4216.022    	6.451    	3.868    
4339.561    	6.136    	6.165    
4466.720    	6.109    	8.017    
4597.605    	6.034    	8.618    
4732.325    	5.954    	9.632    
4870.992    	5.928    	10.678    
5013.723    	5.912    	11.210    
5160.637    	5.848    	11.482    
5311.855    	5.743    	12.278    
5467.504    	5.671    	13.643    
5627.714    	5.646    	15.128    
5792.619    	5.651    	16.518    
5962.355    	5.682    	17.784    
6137.066    	5.725    	18.857    
6316.896    	5.769    	19.785    
6501.995    	5.815    	20.595    
6692.518    	5.856    	21.317    
6888.623    	5.885    	22.068    
7090.476    	5.926    	22.935    
7298.242    	5.976    	23.780    
7512.097    	6.030    	24.557    
7732.218    	6.085    	25.306    
7958.790    	6.144    	26.030    
8192.000    	6.204    	26.754    
8432.044    	6.271    	27.460    
