* This data was exported from the Dayton Audio Test System: DATS
*
D    	67	[mm]
Re   	3.725	[Ohms]
Fs   	118.1	[Hz]
Zm   	23.03	[Ohms]
BL   	2.646	[N/A]
Qms  	6.672
Qes  	1.288
Qts  	1.079
Vas  	0.9721 	[liters]
L10k 	0.1177	[mH]
n0   	0.1187	[%]
dBSPL  	82.84	[1W/1m]
Ms   	3.26	[grams]
Cms  	0.557	[mm/N]
*
*
Freq            Impedance       Phase
287.350    	4.053    	-14.025    
295.770    	4.033    	-13.292    
304.437    	4.015    	-12.351    
313.358    	4.003    	-11.547    
322.540    	3.993    	-10.726    
331.991    	3.981    	-9.981    
341.719    	3.969    	-9.290    
351.732    	3.959    	-8.574    
362.039    	3.947    	-7.875    
372.647    	3.942    	-7.161    
383.567    	3.936    	-6.440    
394.806    	3.937    	-5.795    
406.375    	3.932    	-5.163    
418.282    	3.928    	-4.492    
430.539    	3.929    	-3.868    
443.155    	3.930    	-3.293    
456.140    	3.931    	-2.695    
469.506    	3.931    	-2.134    
483.264    	3.932    	-1.542    
497.424    	3.935    	-1.020    
512.000    	3.940    	-0.467    
527.003    	3.945    	0.097    
542.445    	3.949    	0.639    
558.340    	3.959    	1.170    
574.701    	3.963    	1.635    
591.541    	3.972    	2.128    
608.874    	3.978    	2.613    
626.715    	3.987    	3.070    
645.080    	3.992    	3.514    
663.982    	3.999    	3.988    
683.438    	4.007    	4.400    
703.464    	4.011    	4.889    
724.077    	4.015    	5.354    
745.294    	4.020    	5.825    
767.133    	4.025    	6.347    
789.612    	4.035    	6.849    
812.749    	4.044    	7.384    
836.565    	4.052    	7.891    
861.078    	4.063    	8.412    
886.309    	4.078    	8.971    
912.280    	4.092    	9.477    
939.012    	4.105    	9.995    
966.527    	4.119    	10.503    
994.849    	4.136    	11.119    
1024.000    	4.158    	11.593    
1054.005    	4.178    	12.046    
1084.890    	4.196    	12.483    
1116.680    	4.210    	12.978    
1149.401    	4.228    	13.585    
1183.081    	4.251    	14.150    
1217.748    	4.276    	14.626    
1253.431    	4.302    	15.168    
1290.159    	4.329    	15.664    
1327.964    	4.354    	16.210    
1366.876    	4.385    	16.672    
1406.929    	4.407    	17.137    
1448.155    	4.437    	17.667    
1490.589    	4.466    	18.242    
1534.266    	4.499    	18.779    
1579.224    	4.534    	19.371    
1625.499    	4.574    	19.945    
1673.129    	4.619    	20.502    
1722.156    	4.667    	21.018    
1772.619    	4.717    	21.529    
1824.561    	4.777    	22.015    
1878.024    	4.841    	22.327    
1933.055    	4.907    	22.534    
1989.697    	4.969    	22.761    
2048.000    	5.023    	22.603    
2108.011    	5.050    	22.440    
2169.780    	5.055    	22.468    
2233.360    	5.050    	22.641    
2298.802    	5.045    	23.061    
2366.162    	5.048    	23.673    
2435.496    	5.065    	24.354    
2506.862    	5.094    	25.000    
2580.318    	5.128    	25.702    
2655.927    	5.166    	26.406    
2733.752    	5.212    	27.106    
2813.857    	5.263    	27.748    
2896.309    	5.322    	28.371    
2981.178    	5.380    	28.944    
3068.533    	5.440    	29.495    
3158.448    	5.500    	30.073    
3250.997    	5.566    	30.597    
3346.259    	5.627    	31.143    
3444.312    	5.691    	31.711    
3545.238    	5.761    	32.208    
3649.121    	5.830    	32.784    
3756.049    	5.903    	33.299    
3866.109    	5.977    	33.823    
3979.395    	6.056    	34.339    
4096.000    	6.137    	34.860    
4216.022    	6.220    	35.350    
4339.561    	6.308    	35.835    
4466.720    	6.390    	36.310    
4597.605    	6.477    	36.799    
4732.325    	6.573    	37.323    
4870.992    	6.669    	37.806    
5013.723    	6.768    	38.259    
5160.637    	6.868    	38.684    
5311.855    	6.970    	39.152    
5467.504    	7.080    	39.558    
5627.714    	7.187    	39.941    
5792.619    	7.297    	40.349    
5962.355    	7.404    	40.728    
6137.066    	7.511    	41.112    
6316.896    	7.624    	41.553    
6501.995    	7.743    	41.992    
6692.518    	7.866    	42.353    
6888.623    	7.979    	42.809    
7090.476    	8.111    	43.258    
7298.242    	8.239    	43.687    
7512.097    	8.379    	44.122    
7732.218    	8.522    	44.542    
7958.790    	8.673    	44.952    
8192.000    	8.829    	45.369    
8432.044    	8.990    	45.744    
8679.122    	9.157    	46.110    
8933.439    	9.330    	46.465    
9195.209    	9.514    	46.810    
9464.649    	9.709    	47.098    
9741.985    	9.912    	47.266    
10027.447    	10.108    	47.326    
10321.273    	10.300    	47.286    
10623.710    	10.451    	47.042    
10935.008    	10.515    	47.137    
11255.428    	10.626    	47.679    
11585.238    	10.795    	48.243    
11924.711    	10.986    	48.677    
12274.132    	11.184    	49.067    
12633.791    	11.388    	49.447    
13003.989    	11.602    	49.840    
13385.035    	11.833    	50.143    
13777.247    	12.059    	50.452    
14180.951    	12.291    	50.774    
14596.485    	12.540    	51.065    
15024.194    	12.805    	51.307    
15464.437    	13.073    	51.487    
15917.579    	13.363    	51.677    
16384.000    	13.685    	51.627    
16864.088    	13.970    	51.257    
17358.243    	14.114    	50.756    
17866.879    	14.140    	50.880    
18390.418    	14.269    	51.508    
18929.299    	14.484    	52.049    
19483.969    	14.712    	52.462    
20054.893    	14.936    	52.798    
20642.546    	15.123    	53.131    
