Freq[Hz]     dBSPL  Phase[Deg]
177.019     88.217     6.854
179.594     88.366     7.783
182.206     88.519     8.236
184.856     88.642     8.273
187.545     88.723     8.020
190.273     88.769     7.627
193.041     88.757     7.225
195.849     88.701     6.924
198.697     88.581     6.849
201.587     88.476     7.063
204.520     88.393     7.524
207.494     88.352     8.181
210.512     88.367     8.914
213.574     88.416     9.611
216.681     88.496    10.225
219.833     88.602    10.714
223.030     88.725    11.052
226.274     88.857    11.225
229.565     88.992    11.240
232.905     89.130    11.099
236.292     89.259    10.813
239.729     89.381    10.392
243.216     89.499     9.821
246.754     89.612     9.091
250.343     89.709     8.205
253.984     89.767     7.207
257.678     89.776     6.156
261.426     89.741     5.110
265.229     89.654     4.174
269.087     89.546     3.424
273.001     89.390     2.935
276.972     89.206     2.801
281.000     89.044     3.016
285.088     88.907     3.552
289.234     88.845     4.329
293.441     88.864     5.126
297.709     88.946     5.773
302.040     89.084     6.164
306.433     89.218     6.287
310.890     89.308     6.235
315.412     89.385     6.056
320.000     89.462     5.760
324.655     89.560     5.364
329.377     89.668     4.829
334.168     89.748     4.132
339.028     89.767     3.355
343.959     89.742     2.622
348.962     89.700     1.991
354.038     89.646     1.492
359.188     89.591     1.142
364.412     89.572     0.845
369.713     89.569     0.498
375.090     89.589     0.058
380.546     89.591    -0.471
386.081     89.531    -0.979
391.697     89.417    -1.337
397.394     89.278    -1.461
403.175     89.177    -1.338
409.039     89.156    -1.116
414.989     89.197    -0.985
421.025     89.266    -1.073
427.149     89.318    -1.408
433.362     89.334    -1.940
439.665     89.319    -2.610
446.060     89.266    -3.335
452.548     89.164    -3.995
459.131     89.002    -4.470
465.809     88.785    -4.658
472.584     88.551    -4.482
479.458     88.337    -3.911
486.432     88.169    -2.969
493.507     88.029    -1.699
500.686     87.919    -0.113
507.968     87.883     1.705
515.357     87.979     3.530
522.853     88.221     5.042
530.458     88.553     5.991
538.174     88.894     6.295
546.002     89.179     6.041
553.943     89.392     5.409
562.001     89.540     4.591
570.175     89.641     3.728
578.469     89.712     2.886
586.883     89.763     2.080
595.419     89.811     1.296
604.080     89.854     0.513
612.866     89.879    -0.265
621.780     89.883    -1.027
630.824     89.861    -1.748
640.000     89.826    -2.397
649.309     89.789    -2.967
658.753     89.750    -3.457
668.335     89.704    -3.854
678.056     89.642    -4.126
687.919     89.582    -4.262
697.925     89.561    -4.345
708.077     89.589    -4.483
718.376     89.657    -4.762
728.825     89.720    -5.234
739.426     89.734    -5.848
750.181     89.694    -6.483
761.093     89.623    -7.027
772.163     89.543    -7.417
783.394     89.479    -7.666
794.789     89.437    -7.828
806.349     89.417    -7.964
818.078     89.413    -8.138
829.977     89.420    -8.393
842.050     89.437    -8.750
854.298     89.435    -9.166
866.724     89.391    -9.534
879.330     89.333    -9.809
892.120     89.284   -10.007
905.097     89.286   -10.189
918.262     89.358   -10.506
931.618     89.458   -11.121
945.169     89.536   -12.069
958.917     89.564   -13.293
972.864     89.530   -14.692
987.015     89.422   -16.139
1001.37     89.250   -17.503
1015.94     89.018   -18.676
1030.71     88.746   -19.591
1045.71     88.447   -20.202
1060.92     88.128   -20.465
1076.35     87.819   -20.387
1092.00     87.512   -20.000
1107.89     87.232   -19.335
1124.00     86.984   -18.445
1140.35     86.760   -17.362
1156.94     86.553   -16.101
1173.77     86.364   -14.654
1190.84     86.216   -13.035
1208.16     86.108   -11.274
1225.73     86.056    -9.423
1243.56     86.076    -7.614
1261.65     86.148    -5.962
1280.00     86.279    -4.560
1298.62     86.441    -3.491
1317.51     86.595    -2.742
1336.67     86.720    -2.231
1356.11     86.803    -1.833
1375.84     86.850    -1.429
1395.85     86.882    -0.955
1416.15     86.935    -0.415
1436.75     87.018     0.129
1457.65     87.121     0.614
1478.85     87.231     1.000
1500.36     87.330     1.283
1522.19     87.418     1.498
1544.33     87.502     1.670
1566.79     87.584     1.810
1589.58     87.661     1.932
1612.70     87.726     2.067
1636.16     87.777     2.256
1659.95     87.827     2.519
1684.10     87.892     2.842
1708.60     87.997     3.160
1733.45     88.139     3.371
1758.66     88.298     3.416
1784.24     88.458     3.273
1810.19     88.579     2.988
1836.52     88.664     2.666
1863.24     88.746     2.331
1890.34     88.818     2.002
1917.83     88.892     1.709
1945.73     88.985     1.391
1974.03     89.055     1.033
2002.74     89.126     0.672
2031.87     89.190     0.301
2061.43     89.246    -0.062
2091.41     89.313    -0.435
2121.83     89.385    -0.854
2152.69     89.461    -1.328
2184.01     89.547    -1.902
2215.77     89.600    -2.552
2248.00     89.625    -3.196
2280.70     89.617    -3.776
2313.87     89.590    -4.246
2347.53     89.570    -4.589
2381.68     89.578    -4.855
2416.32     89.608    -5.099
2451.46     89.639    -5.352
2487.12     89.659    -5.600
2523.30     89.675    -5.830
2560.00     89.704    -6.046
2597.24     89.746    -6.260
2635.01     89.814    -6.517
2673.34     89.885    -6.870
2712.23     89.959    -7.331
2751.68     90.015    -7.873
2791.70     90.055    -8.445
2832.31     90.067    -8.993
2873.50     90.053    -9.456
2915.30     90.056    -9.832
2957.70     90.090   -10.199
3000.72     90.136   -10.582
3044.37     90.197   -11.022
3088.65     90.238   -11.540
3133.58     90.258   -12.087
3179.16     90.274   -12.624
3225.40     90.290   -13.146
3272.31     90.305   -13.639
3319.91     90.314   -14.095
3368.20     90.310   -14.483
3417.19     90.310   -14.799
3466.89     90.339   -15.096
3517.32     90.393   -15.421
3568.48     90.471   -15.805
3620.39     90.539   -16.274
3673.05     90.594   -16.819
3726.47     90.653   -17.425
3780.67     90.723   -18.092
3835.67     90.784   -18.798
3891.46     90.844   -19.564
3948.06     90.910   -20.442
4005.49     90.962   -21.423
4063.75     91.015   -22.478
4122.86     91.050   -23.637
4182.82     91.033   -24.830
4243.66     90.959   -25.913
4305.39     90.857   -26.801
4368.01     90.733   -27.445
4431.55     90.620   -27.800
4496.01     90.531   -27.856
4561.40     90.498   -27.715
4627.75     90.528   -27.529
4695.06     90.640   -27.446
4763.35     90.821   -27.619
4832.64     91.032   -28.174
4902.93     91.264   -29.203
4974.24     91.464   -30.692
5046.60     91.622   -32.513
5120.00     91.692   -34.547
5194.47     91.634   -36.564
5270.03     91.480   -38.320
5346.68     91.263   -39.633
5424.45     91.018   -40.336
5503.35     90.862   -40.500
5583.40     90.815   -40.394
5664.61     90.918   -40.324
5747.01     91.166   -40.671
5830.60     91.457   -41.674
5915.41     91.726   -43.326
6001.45     91.961   -45.596
6088.74     92.104   -48.357
6177.30     92.145   -51.380
6267.15     92.100   -54.552
6358.31     91.924   -57.721
6450.80     91.656   -60.696
6544.62     91.332   -63.407
6639.82     90.882   -65.629
6736.40     90.370   -67.156
6834.38     89.837   -67.993
6933.79     89.283   -68.037
7034.64     88.871   -67.351
7136.96     88.606   -66.315
7240.77     88.443   -65.170
