Freq[Hz]     dBSPL  Phase[Deg]
177.019     86.634    18.567
179.594     86.516    20.174
182.206     86.462    22.185
184.856     86.514    24.507
187.545     86.713    26.873
190.273     87.053    28.956
193.041     87.513    30.433
195.849     88.032    31.044
198.697     88.539    30.741
201.587     88.990    29.648
204.520     89.353    27.967
207.494     89.617    25.965
210.512     89.791    23.882
213.574     89.893    21.887
216.681     89.945    20.074
219.833     89.971    18.465
223.030     89.994    17.002
226.274     90.023    15.558
229.565     90.041    14.035
232.905     90.033    12.393
236.292     89.959    10.722
239.729     89.807     9.274
243.216     89.605     8.259
246.754     89.383     7.781
250.343     89.191     7.824
253.984     89.075     8.196
257.678     89.039     8.640
261.426     89.070     8.930
265.229     89.123     8.970
269.087     89.173     8.801
273.001     89.202     8.518
276.972     89.206     8.262
281.000     89.199     8.158
285.088     89.213     8.238
289.234     89.273     8.427
293.441     89.399     8.552
297.709     89.580     8.415
302.040     89.797     7.864
306.433     90.015     6.799
310.890     90.192     5.251
315.412     90.309     3.330
320.000     90.340     1.208
324.655     90.289    -0.915
329.377     90.162    -2.872
334.168     89.975    -4.528
339.028     89.760    -5.843
343.959     89.524    -6.821
348.962     89.286    -7.474
354.038     89.059    -7.860
359.188     88.831    -7.969
364.412     88.633    -7.818
369.713     88.458    -7.461
375.090     88.324    -6.927
380.546     88.248    -6.338
386.081     88.218    -5.824
391.697     88.224    -5.457
397.394     88.255    -5.286
403.175     88.301    -5.349
409.039     88.348    -5.677
414.989     88.379    -6.269
421.025     88.383    -7.115
427.149     88.329    -8.160
433.362     88.191    -9.202
439.665     87.972    -9.975
446.060     87.691   -10.246
452.548     87.394    -9.891
459.131     87.137    -8.970
465.809     86.952    -7.660
472.584     86.851    -6.167
479.458     86.828    -4.658
486.432     86.867    -3.217
493.507     86.976    -1.929
500.686     87.143    -0.914
507.968     87.359    -0.291
515.357     87.600    -0.190
522.853     87.817    -0.634
530.458     87.979    -1.510
538.174     88.063    -2.629
546.002     88.062    -3.732
553.943     88.000    -4.598
562.001     87.910    -5.112
570.175     87.837    -5.294
578.469     87.815    -5.322
586.883     87.839    -5.410
595.419     87.897    -5.736
604.080     87.948    -6.389
612.866     87.952    -7.283
621.780     87.896    -8.224
630.824     87.789    -9.045
640.000     87.647    -9.643
649.309     87.494    -9.987
658.753     87.348   -10.131
668.335     87.209   -10.127
678.056     87.076   -10.001
687.919     86.949    -9.761
697.925     86.824    -9.386
708.077     86.714    -8.872
718.376     86.621    -8.237
728.825     86.553    -7.512
739.426     86.508    -6.722
750.181     86.490    -5.888
761.093     86.506    -5.052
772.163     86.555    -4.268
783.394     86.634    -3.582
794.789     86.743    -3.041
806.349     86.884    -2.735
818.078     87.028    -2.719
829.977     87.166    -2.984
842.050     87.284    -3.525
854.298     87.356    -4.263
866.724     87.381    -5.064
879.330     87.360    -5.807
892.120     87.307    -6.388
905.097     87.247    -6.782
918.262     87.188    -7.019
931.618     87.149    -7.158
945.169     87.131    -7.298
958.917     87.125    -7.506
972.864     87.124    -7.825
987.015     87.116    -8.279
1001.37     87.092    -8.884
1015.94     87.027    -9.597
1030.71     86.908   -10.288
1045.71     86.730   -10.805
1060.92     86.495   -10.950
1076.35     86.234   -10.555
1092.00     85.991    -9.570
1107.89     85.816    -8.087
1124.00     85.746    -6.328
1140.35     85.797    -4.599
1156.94     85.941    -3.190
1173.77     86.134    -2.250
1190.84     86.340    -1.812
1208.16     86.518    -1.793
1225.73     86.661    -2.036
1243.56     86.774    -2.446
1261.65     86.850    -2.942
1280.00     86.906    -3.477
1298.62     86.935    -4.036
1317.51     86.943    -4.585
1336.67     86.929    -5.107
1356.11     86.896    -5.579
1375.84     86.841    -5.974
1395.85     86.768    -6.255
1416.15     86.677    -6.376
1436.75     86.575    -6.281
1457.65     86.479    -5.942
1478.85     86.402    -5.377
1500.36     86.354    -4.607
1522.19     86.358    -3.691
1544.33     86.430    -2.776
1566.79     86.559    -2.019
1589.58     86.739    -1.550
1612.70     86.937    -1.464
