* This data was exported from the Dayton Audio Test System: DATS
*
D    	34	[mm]
Re   	3.11	[Ohms]
Fs   	763.8	[Hz]
Zm   	7.944	[Ohms]
BL   	0	[N/A]
Qms  	3.709
Qes  	2.386
Qts  	1.452
Vas  	0 	[liters]
L10k 	0.006894	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
313.358    	3.663    	6.449    
322.540    	3.664    	6.815    
331.991    	3.669    	7.186    
341.719    	3.679    	7.600    
351.732    	3.687    	7.996    
362.039    	3.699    	8.428    
372.647    	3.713    	8.868    
383.567    	3.727    	9.312    
394.806    	3.745    	9.788    
406.375    	3.767    	10.352    
418.282    	3.789    	10.882    
430.539    	3.818    	11.427    
443.155    	3.849    	11.985    
456.140    	3.886    	12.584    
469.506    	3.929    	13.214    
483.264    	3.978    	13.910    
497.424    	4.035    	14.557    
512.000    	4.102    	15.309    
527.003    	4.182    	16.042    
542.445    	4.278    	16.808    
558.340    	4.384    	17.517    
574.701    	4.516    	18.217    
591.541    	4.682    	18.919    
608.874    	4.880    	19.475    
626.715    	5.123    	19.791    
645.080    	5.424    	19.778    
663.982    	5.789    	19.261    
683.438    	6.223    	17.958    
703.464    	6.722    	15.530    
724.077    	7.237    	11.657    
745.294    	7.686    	6.345    
767.133    	7.956    	-0.277    
789.612    	7.930    	-7.404    
812.749    	7.612    	-14.069    
836.565    	7.096    	-19.499    
861.078    	6.510    	-23.324    
886.309    	5.946    	-25.496    
912.280    	5.463    	-26.411    
939.012    	5.055    	-26.436    
966.527    	4.726    	-25.882    
994.849    	4.460    	-24.829    
1024.000    	4.256    	-23.644    
1054.005    	4.086    	-22.360    
1084.890    	3.955    	-20.984    
1116.680    	3.853    	-19.673    
1149.401    	3.767    	-18.459    
1183.081    	3.700    	-17.257    
1217.748    	3.642    	-16.105    
1253.431    	3.594    	-15.032    
1290.159    	3.557    	-14.032    
1327.964    	3.523    	-13.082    
1366.876    	3.499    	-12.184    
1406.929    	3.476    	-11.355    
1448.155    	3.461    	-10.527    
1490.589    	3.448    	-9.778    
1534.266    	3.437    	-9.082    
